x, y, z, k, l
0, 0, -76718.3672, 105407.172, 6589.06055
0.99998, 0, -56480.3594, 113007.250, 14850.8330
1.99997, 0, -34426.8477, 121988.906, 23302.0527
3.00003, 0, -11548.5918, 132276.766, 31813.1016
4.00002, 0, 11732.2002, 143785.188, 40353.5781
5, 0, 35186.0664, 156398.531, 48916.0195
5.99998, 0, 58710.6641, 169937.156, 57479.1094
6.99997, 0, 82430.3594, 184068.938, 65959.6484
8.00003, 0, 107098.250, 198036.594, 74082.3906
9.00002, 0, 135582.500, 209669.375, 80913.8594
10, 0, 164565.781, 220912.750, 87473.8594
11, 0, 192836.641, 232307.109, 94125.1875
12, 0, 219812.125, 243974.266, 101035.844
13, 0, 245145.312, 255885.000, 108298.562
14, 0, 268633.844, 267937.125, 115949.375
15, 0, 290275.031, 279961.938, 123926.922
16, 0, 310526.594, 291666.219, 131932.062
17, 0, 331155.656, 302416.625, 138981.422
18, 0, 358338.219, 310436.500, 141792.438
19, 0, 385308.406, 317324.031, 143802.281
20, 0, 409741.688, 323553.469, 146132.594
21, 0, 430706.125, 329296.344, 149170.172
22, 0, 447918.625, 334683.500, 152941.078
23, 0, 461732.812, 339979.969, 157086.750
24, 0, 473739.781, 345890.281, 160469.359
25, 0, 488879.406, 354424.281, 159820.359
26, 0, 523222.406, 371997.938, 144772.297
27, 0, 560316.375, 392128.656, 125702.172
28, 0, 594805.812, 412731.688, 105925.328
29, 0, 624681.375, 433055.250, 86641.9453
30, 0, 649246.562, 452894.750, 68237.6406
31, 0, 668694.875, 472471.312, 50565.7930
32, 0, 684520.188, 492704.594, 32714.8887
33, 0, 701173.125, 516159.094, 12027.4912
34, 0, 731368.875, 550032.812, -19066.1133
35, 0, 815412.562, 617024.062, -84592.2656
36, 0, 912888.625, 694459.562, -160362.125
37, 0, 1010937.44, 775135.812, -238590.438
38, 0, 1104895.50, 856447.375, -316338.781
39, 0, 1192884.38, 937368.438, -392297.031
40, 0, 1273883.00, 1017418.75, -465654.156
41, 0, 1346599.25, 1096151.12, -535468.625
42, 0, 1407792.62, 1172564.12, -599781.750
43, 0, 1447101.25, 1243464.50, -652918.062
44, 0, 1475177.75, 1312222.12, -700258.812
45, 0, 1495526.88, 1379966.25, -743446.500
46, 0, 1509525.12, 1447125.12, -783063.000
47, 0, 1517786.62, 1513801.75, -819456.188
48, 0, 1520571.75, 1579785.38, -853212.375
49, 0, 1517850.25, 1644266.00, -885857.250
50, 0, 1509066.25, 1704825.38, -921745.375
51, 0, 1492102.88, 1753722.50, -974761.938
52, 0, 1469044.62, 1798675.88, -1031014.38
53, 0, 1440520.12, 1842140.62, -1086070.00
54, 0, 1406745.00, 1885011.12, -1138313.00
55, 0, 1367804.75, 1927608.38, -1187182.88
56, 0, 1323728.62, 1969922.62, -1232768.25
57, 0, 1274475.12, 2011518.50, -1276059.62
58, 0, 1219817.75, 2051007.62, -1320128.25
59, 0, 1158975.25, 2084312.00, -1373983.62
60, 0, 1089283.88, 2098319.25, -1466699.00
61, 0, 1013454.31, 2106338.00, -1568252.38
62, 0, 932376.062, 2112661.00, -1668668.62
63, 0, 846425.188, 2118856.00, -1763953.50
64, 0, 755839.938, 2125429.25, -1852302.75
65, 0, 660886.938, 2132213.75, -1933017.75
66, 0, 562049.562, 2138125.25, -2006450.38
67, 0, 460496.750, 2139864.00, -2075016.12
68, 0, 359738.344, 2126935.25, -2147429.00
69, 0, 256332.234, 2109717.25, -2214496.00
70, 0, 149227.203, 2091459.62, -2273319.75
71, 0, 38123.4492, 2073290.00, -2322973.75
72, 0, -76949.1250, 2055576.50, -2363297.25
73, 0, -195694.391, 2038333.50, -2394500.25
74, 0, -317387.625, 2021283.38, -2417027.50
75, 0, -440308.156, 2003644.50, -2431577.00
76, 0, -559933.188, 1983313.62, -2439348.25
77, 0, -662358.375, 1953827.12, -2443093.50
78, 0, -761079.688, 1921361.12, -2440950.50
79, 0, -860191.312, 1887772.38, -2432621.75
80, 0, -960834.938, 1853641.00, -2418248.00
81, 0, -1062720.12, 1819117.62, -2398034.75
82, 0, -1164009.62, 1784220.25, -2371993.00
83, 0, -1259682.88, 1748993.75, -2339500.00
84, 0, -1335982.38, 1713722.12, -2298082.50
85, 0, -1350036.88, 1679553.62, -2239087.75
86, 0, -1344099.88, 1645127.38, -2171787.25
87, 0, -1331426.38, 1609993.25, -2099294.75
88, 0, -1316710.62, 1574046.62, -2022857.00
89, 0, -1301820.75, 1537449.12, -1943005.50
90, 0, -1287901.62, 1500790.88, -1859861.50
91, 0, -1276756.12, 1465649.88, -1773061.50
92, 0, -1273231.75, 1436360.25, -1681149.25
93, 0, -1292951.38, 1426457.50, -1579182.00
94, 0, -1319624.50, 1422529.62, -1472258.62
95, 0, -1347847.25, 1420353.75, -1362030.62
96, 0, -1375491.75, 1418444.12, -1249124.75
97, 0, -1401602.00, 1416270.75, -1133825.12
98, 0, -1425689.62, 1413674.88, -1016329.50
99, 0, -1447432.88, 1410646.88, -896925.312
100, 0, -1466461.88, 1407235.88, -776273.188
101, 0, -1481989.12, 1403514.50, -656181.562
102, 0, -1491634.62, 1399581.88, -542364.125
103, 0, -1497770.00, 1395420.38, -429072.312
104, 0, -1501161.25, 1391003.88, -314504.938
105, 0, -1502057.50, 1386231.12, -198125.312
106, 0, -1500396.25, 1380823.50, -80042.8672
107, 0, -1495664.25, 1374089.62, 38905.2305
108, 0, -1486315.00, 1364313.38, 156380.031
109, 0, -1467912.50, 1346884.50, 265932.969
110, 0, -1426385.25, 1307525.12, 347434.062
111, 0, -1375751.62, 1260235.88, 420755.031
112, 0, -1320470.38, 1209385.38, 492142.156
113, 0, -1262183.62, 1156489.75, 563785.938
114, 0, -1201575.38, 1102090.38, 636422.438
115, 0, -1138969.88, 1046381.00, 710097.875
116, 0, -1074533.12, 989474.438, 784250.062
117, 0, -1008305.31, 931591.500, 857202.438
118, 0, -940062.312, 873387.562, 924275.500
119, 0, -868722.312, 817001.812, 970790.062
120, 0, -795683.188, 760319.688, 1011250.00
121, 0, -721503.688, 702717.875, 1050198.25
122, 0, -646518.625, 644076.938, 1089177.38
123, 0, -571052.875, 584601.000, 1128574.62
124, 0, -495602.219, 524987.000, 1168051.00
125, 0, -421199.812, 467098.969, 1206253.62
126, 0, -350485.375, 416142.562, 1239315.00
127, 0, -291553.781, 388619.031, 1255110.88
128, 0, -236517.469, 367781.438, 1265596.25
129, 0, -182908.172, 348145.750, 1274523.50
130, 0, -129874.016, 327589.281, 1283189.38
131, 0, -77189.8438, 305262.844, 1291964.00
132, 0, -25066.0332, 281094.719, 1300665.00
133, 0, 25590.0469, 256062.281, 1308374.25
134, 0, 72057.2969, 233683.469, 1312372.25
135, 0, 105628.547, 225719.469, 1304029.88
136, 0, 134930.500, 220072.953, 1291972.00
137, 0, 162687.594, 212830.672, 1278959.12
138, 0, 189886.016, 202538.266, 1266018.38
139, 0, 216899.078, 188647.094, 1253571.12
140, 0, 243800.141, 171074.109, 1241782.88
141, 0, 270354.656, 150203.031, 1230655.62
142, 0, 295694.438, 127329.859, 1219968.38
143, 0, 317191.656, 106237.586, 1208959.88
144, 0, 326338.125, 99008.8516, 1195119.88
145, 0, 331733.656, 93425.7031, 1180969.50
146, 0, 336127.344, 85576.6719, 1167290.00
147, 0, 340511.094, 74082.4375, 1154332.88
148, 0, 345224.562, 58592.3398, 1142149.88
149, 0, 350265.125, 39502.6445, 1130685.62
150, 0, 355275.531, 18399.0820, 1119770.00
151, 0, 359144.625, -71.2687378, 1108975.62
152, 0, 358380.688, -1159.17224, 1097047.25
153, 0, 356357.594, 359.610779, 1085160.75
154, 0, 354105.031, -220.389282, 1073668.00
155, 0, 351965.156, -4577.38477, 1062679.75
156, 0, 350058.531, -13237.5342, 1052230.25
157, 0, 348454.094, -26033.4238, 1042339.44
158, 0, 347275.688, -41912.4180, 1033058.00
159, 0, 346857.625, -57904.1250, 1024538.50
160, 0, 348160.250, -65726.9453, 1017236.62
161, 0, 354249.094, -39389.6562, 1012622.88
162, 0, 362009.000, -4675.48340, 1009197.00
163, 0, 370433.219, 30328.6094, 1006471.25
164, 0, 379144.125, 62851.0664, 1004255.50
165, 0, 387983.188, 92062.0703, 1002455.50
166, 0, 396871.594, 118070.836, 1000993.06
167, 0, 405745.500, 141817.781, 999742.188
168, 0, 414491.031, 165869.797, 998394.938
169, 0, 422775.812, 197868.172, 996008.188
170, 0, 430931.719, 230728.672, 993511.125
171, 0, 439065.031, 262374.094, 991194.438
172, 0, 447205.875, 292177.688, 989151.500
173, 0, 455330.438, 319932.531, 987387.562
174, 0, 463324.844, 345400.375, 985825.625
175, 0, 470858.281, 367848.219, 984230.312
176, 0, 476984.781, 384957.438, 981934.188
177, 0, 478696.469, 389037.594, 976827.938
178, 0, 479023.781, 388118.250, 971026.250
179, 0, 478937.812, 384842.969, 965210.000
180, 0, 478795.938, 380237.156, 959634.875
181, 0, 478741.375, 374757.219, 954404.562
182, 0, 478834.969, 368653.438, 949546.438
183, 0, 479107.719, 362148.562, 945012.875
184, 0, 479587.844, 355616.188, 940607.625
185, 0, 480329.188, 349975.281, 935727.875
186, 0, 481482.531, 348034.656, 928415.062
187, 0, 482936.562, 347084.219, 920670.375
188, 0, 484677.531, 346316.531, 913139.875
189, 0, 486731.250, 345530.875, 906058.875
190, 0, 489162.250, 344830.125, 899501.062
191, 0, 492109.250, 344649.531, 893436.062
192, 0, 495894.812, 346104.281, 887688.562
193, 0, 501370.406, 352186.312, 881726.688
194, 0, 511178.500, 372186.750, 873850.625
195, 0, 522678.750, 396842.812, 865775.062
196, 0, 535003.750, 423149.844, 858051.125
197, 0, 547797.188, 449933.344, 850882.750
198, 0, 560867.500, 476638.969, 844350.000
199, 0, 574072.562, 502949.156, 838477.625
200, 0, 587267.375, 528650.500, 833251.688
201, 0, 600248.562, 553593.188, 828601.500
202, 0, 612617.625, 577695.500, 824319.000
203, 0, 623289.812, 601003.000, 819749.812
204, 0, 633261.125, 623373.062, 815532.000
205, 0, 642848.688, 644788.688, 811855.125
206, 0, 652180.375, 665292.250, 808771.750
207, 0, 661320.250, 684949.938, 806287.125
208, 0, 670286.250, 703805.938, 804397.250
209, 0, 678995.875, 721778.625, 803123.938
210, 0, 687053.188, 738352.562, 802596.062
0, 1, -69017.5391, 96171.5781, 14341.7500
0.99998, 1, -50745.2383, 103842.578, 22042.9746
1.99997, 1, -29787.1348, 112917.734, 30032.7520
3.00003, 1, -7243.92822, 123292.578, 38152.0352
4.00002, 1, 16268.4141, 134846.422, 46321.3008
5, 1, 40403.8750, 147425.344, 54490.1367
5.99998, 1, 65017.9766, 160807.281, 62599.2500
6.99997, 1, 90224.9141, 174629.672, 70535.9062
8.00003, 1, 116567.867, 188261.328, 78070.4062
9.00002, 1, 145036.953, 200785.141, 84845.6016
10, 1, 174201.891, 212904.031, 91275.6719
11, 1, 203067.594, 225036.062, 97644.3906
12, 1, 231054.203, 237327.391, 104106.922
13, 1, 257825.750, 249771.062, 110737.359
14, 1, 283230.688, 262265.375, 117534.633
15, 1, 307359.469, 274621.781, 124379.836
16, 1, 330752.688, 286527.344, 130921.773
17, 1, 354797.562, 297457.188, 136366.203
18, 1, 381787.812, 306675.375, 139442.188
19, 1, 408957.875, 314803.750, 141501.047
20, 1, 434493.688, 322278.125, 143387.656
21, 1, 457539.938, 329378.312, 145427.156
22, 1, 477928.781, 336374.750, 147548.766
23, 1, 496229.469, 343692.094, 149228.406
24, 1, 514218.656, 352164.469, 149180.641
25, 1, 535844.875, 363451.188, 144745.219
26, 1, 567348.938, 380102.094, 131815.141
27, 1, 602218.500, 399600.781, 114439.750
28, 1, 636232.938, 420340.562, 95230.2656
29, 1, 667390.250, 441612.344, 75401.2656
30, 1, 695048.375, 463294.719, 55314.0195
31, 1, 719678.375, 485812.312, 34643.1758
32, 1, 743285.250, 510416.250, 12139.2725
33, 1, 770717.875, 539936.125, -15137.9912
34, 1, 812118.375, 580158.375, -53264.5117
35, 1, 883229.375, 639996.250, -111620.016
36, 1, 968054.750, 710500.688, -180578.219
37, 1, 1056145.50, 785818.562, -253766.156
38, 1, 1142225.00, 863001.375, -327858.906
39, 1, 1223601.00, 940582.250, -401060.969
40, 1, 1298554.38, 1017724.44, -472173.625
41, 1, 1365279.12, 1093723.12, -539997.500
42, 1, 1420909.75, 1167622.25, -602803.875
43, 1, 1461284.38, 1238100.12, -658206.062
44, 1, 1490597.50, 1306449.00, -708224.188
45, 1, 1511657.25, 1373510.00, -754192.250
46, 1, 1525930.62, 1439651.12, -796851.000
47, 1, 1534146.25, 1504895.00, -836802.750
48, 1, 1536607.88, 1568894.38, -874946.938
49, 1, 1533282.50, 1630713.25, -913068.062
50, 1, 1523743.75, 1688374.88, -954744.438
51, 1, 1507189.12, 1738812.88, -1005487.12
52, 1, 1484464.12, 1785051.00, -1059878.88
53, 1, 1456120.88, 1829054.12, -1114427.75
54, 1, 1422437.38, 1871766.38, -1167506.12
55, 1, 1383534.88, 1913528.88, -1218611.62
56, 1, 1339425.00, 1954239.88, -1268116.00
57, 1, 1289996.50, 1993255.75, -1317521.62
58, 1, 1234939.38, 2028990.00, -1370362.12
59, 1, 1173589.62, 2058131.50, -1433927.12
60, 1, 1104916.50, 2075556.38, -1519430.88
61, 1, 1030047.12, 2086557.38, -1614698.62
62, 1, 949783.438, 2094610.12, -1711469.12
63, 1, 864619.375, 2101415.00, -1805258.75
64, 1, 774913.688, 2107602.25, -1893689.38
65, 1, 681031.312, 2113001.00, -1975669.12
66, 1, 583511.688, 2116491.50, -2051264.25
67, 1, 483314.688, 2115469.00, -2122062.00
68, 1, 381874.719, 2105819.25, -2191161.75
69, 1, 277926.594, 2091625.12, -2254810.75
70, 1, 170737.344, 2075525.75, -2310705.75
71, 1, 60098.0039, 2058792.00, -2357874.25
72, 1, -53849.3633, 2041942.12, -2396072.75
73, 1, -170633.094, 2025052.12, -2425446.50
74, 1, -289280.688, 2007821.38, -2446386.25
75, 1, -407858.969, 1989429.25, -2459521.50
76, 1, -522627.594, 1968183.50, -2465821.00
77, 1, -627911.625, 1941486.75, -2466587.75
78, 1, -728757.312, 1911713.25, -2461337.75
79, 1, -828195.250, 1880369.75, -2449903.00
80, 1, -927195.750, 1848151.75, -2432360.00
81, 1, -1025172.31, 1815341.62, -2408790.75
