x, y, z, k, l
0, 0, 826038.188, 107346.469, 473840.562
0.99998, 0, 854118.375, 115939.836, 434596.312
1.99997, 0, 885963.125, 123802.500, 392811.062
3.00003, 0, 920726.062, 130184.328, 350469.281
4.00002, 0, 957996.000, 134885.844, 308275.062
5, 0, 997437.000, 137929.656, 266502.188
5.99998, 0, 1038609.50, 139529.531, 225190.469
6.99997, 0, 1080714.88, 140263.734, 184055.328
8.00003, 0, 1121891.12, 141706.781, 141976.750
9.00002, 0, 1156682.25, 148760.641, 95053.8438
10, 0, 1190206.50, 156577.203, 47543.0430
11, 0, 1223992.00, 163630.500, 928.149231
12, 0, 1258494.88, 169388.234, -44129.4023
13, 0, 1293771.62, 173680.625, -87258.8125
14, 0, 1329650.62, 176520.000, -128222.414
15, 0, 1365680.62, 178094.438, -166897.719
16, 0, 1400806.12, 178929.766, -203379.312
17, 0, 1432278.12, 180472.109, -238358.281
18, 0, 1451657.25, 187247.625, -274524.906
19, 0, 1467213.12, 194726.875, -308703.469
20, 0, 1481521.38, 201460.344, -339742.156
21, 0, 1495429.62, 206923.641, -367141.812
22, 0, 1509095.50, 210943.719, -390751.812
23, 0, 1522203.00, 213556.859, -410854.719
24, 0, 1533730.25, 215073.281, -428685.906
25, 0, 1540886.75, 216465.688, -448151.344
26, 0, 1535081.12, 220872.969, -482110.062
27, 0, 1524636.75, 225093.484, -517156.031
28, 0, 1512119.50, 228090.156, -548861.062
29, 0, 1498379.12, 229478.844, -575540.000
30, 0, 1483632.50, 229123.547, -596634.188
31, 0, 1467749.25, 227032.031, -612414.625
32, 0, 1450199.88, 223382.062, -624413.312
33, 0, 1429612.88, 218703.297, -637021.562
34, 0, 1402274.62, 214481.375, -662573.750
35, 0, 1356608.88, 215366.109, -739858.875
36, 0, 1304135.88, 216791.062, -830277.688
37, 0, 1248545.25, 217362.906, -921658.312
38, 0, 1191218.12, 216660.531, -1009674.12
39, 0, 1132747.88, 214646.906, -1092606.75
40, 0, 1073446.00, 211527.297, -1169384.25
41, 0, 1013566.56, 207834.594, -1238213.38
42, 0, 953504.375, 204896.703, -1294104.12
43, 0, 894282.938, 206638.297, -1320768.12
44, 0, 835012.438, 209387.375, -1335234.12
