x, y, z, k, l
0, 0, -298371.156, -59295.0586, 88414.3594
0.99998, 0, -297283.312, -57955.8555, 88721.3438
1.99997, 0, -296171.969, -56887.3555, 89197.6250
3.00003, 0, -294999.844, -56067.3945, 89959.4141
4.00002, 0, -293761.031, -55482.7070, 91036.1094
5, 0, -292460.469, -55116.3594, 92419.8047
5.99998, 0, -291109.250, -54935.8516, 94064.9766
6.99997, 0, -289727.281, -54867.2539, 95848.6953
8.00003, 0, -288356.750, -54717.3516, 97432.9375
9.00002, 0, -287114.344, -53891.2461, 97762.7422
10, 0, -285900.094, -52975.3711, 97870.6953
11, 0, -284688.719, -52155.9727, 98079.1406
12, 0, -283477.594, -51500.9414, 98500.6250
13, 0, -282272.219, -51035.4375, 99173.2891
14, 0, -281080.312, -50761.4102, 100096.938
15, 0, -279906.875, -50652.0664, 101227.203
16, 0, -278745.312, -50616.0273, 102422.258
17, 0, -277551.969, -50378.6523, 103264.320
18, 0, -276154.688, -49046.8828, 102406.727
19, 0, -274762.375, -47540.5430, 101214.492
20, 0, -273454.719, -46159.3359, 100124.711
21, 0, -272271.938, -45012.0859, 99291.5547
22, 0, -271236.938, -44125.3047, 98755.0234
23, 0, -270357.344, -43456.2305, 98474.2266
24, 0, -269612.219, -42838.7656, 98283.8359
25, 0, -268904.250, -41780.3750, 97703.4297
26, 0, -267883.562, -38707.8867, 95220.9062
27, 0, -266938.531, -35199.9805, 92320.7891
28, 0, -266204.844, -31761.3828, 89467.4375
29, 0, -265741.312, -28575.5684, 86823.6406
30, 0, -265576.312, -25703.2812, 84443.7656
31, 0, -265718.000, -23126.5703, 82323.5000
32, 0, -266146.500, -20715.9902, 80386.6328
33, 0, -266781.281, -18088.4590, 78395.9453
34, 0, -267375.375, -14149.2959, 75658.3672
35, 0, -267129.594, -5423.61328, 69951.0625
36, 0, -266864.062, 4600.47559, 63524.3945
37, 0, -266845.594, 14807.6348, 57106.2031
38, 0, -267179.094, 24783.6738, 50976.4570
39, 0, -267924.969, 34345.5820, 45269.6953
40, 0, -269159.312, 43368.0391, 40087.3828
41, 0, -271052.688, 51666.7422, 35575.2188
42, 0, -274071.688, 58793.2461, 32062.6445
43, 0, -279687.312, 63367.7422, 30518.7383
44, 0, -286434.469, 66759.5469, 30030.9844
45, 0, -293847.094, 69406.1641, 30323.9102
46, 0, -301750.500, 71475.6016, 31302.8008
47, 0, -310058.594, 73060.0000, 32915.5000
48, 0, -318691.156, 74263.7422, 35079.8828
49, 0, -327498.750, 75300.4062, 37586.4883
50, 0, -336098.000, 76728.2109, 39842.9883
51, 0, -343307.406, 80269.4609, 39972.8828
52, 0, -350269.531, 84266.7188, 39832.0078
53, 0, -357341.219, 88210.2031, 40009.0117
54, 0, -364651.656, 91926.3672, 40721.8320
55, 0, -372250.188, 95363.6719, 42056.9062
56, 0, -380137.344, 98546.9062, 44024.2188
57, 0, -388235.312, 101620.117, 46522.1562
58, 0, -396267.812, 105021.180, 49175.9297
59, 0, -403378.562, 110042.523, 50817.6211
60, 0, -406750.188, 120870.750, 47600.2539
61, 0, -409293.938, 133198.844, 43509.2109
62, 0, -411964.125, 145607.781, 39854.3711
63, 0, -415122.406, 157544.750, 37135.0625
64, 0, -418896.531, 168786.266, 35529.7891
65, 0, -423259.094, 179305.078, 35002.2695
66, 0, -427959.594, 189325.859, 35203.6641
67, 0, -432199.219, 199667.906, 35011.9062
68, 0, -433398.500, 213069.156, 30787.2617
69, 0, -434130.906, 226709.422, 26191.7227
70, 0, -435204.125, 239674.000, 22388.0996
71, 0, -436897.250, 251620.016, 19791.7383
72, 0, -439296.625, 262413.406, 18545.1719
73, 0, -442390.500, 272023.312, 18651.0684
74, 0, -446068.281, 280514.750, 19967.6777
75, 0, -450024.188, 288132.250, 22063.5234
76, 0, -453419.406, 295604.469, 23712.0957
77, 0, -453642.156, 305273.375, 21036.1035
78, 0, -453237.938, 314742.688, 17896.2871
79, 0, -452988.562, 323228.250, 15509.7988
80, 0, -453144.625, 330422.938, 14299.0068
81, 0, -453751.844, 336179.375, 14386.6621
82, 0, -454722.688, 340397.906, 15720.1670
83, 0, -455771.500, 342965.281, 18018.1230
84, 0, -456105.281, 343674.781, 20437.6055
85, 0, -453251.562, 341991.125, 20288.0117
86, 0, -449634.906, 338352.125, 20258.9395
87, 0, -446013.406, 332882.500, 21200.0234
88, 0, -442645.688, 325668.812, 23384.7539
89, 0, -439595.750, 316927.094, 26797.8750
90, 0, -436791.750, 307273.688, 31085.4102
91, 0, -433944.469, 298388.406, 35163.6367
92, 0, -430198.219, 295008.656, 35920.9492
93, 0, -422825.125, 312128.844, 23479.0664
94, 0, -414543.594, 334717.250, 7710.96045
95, 0, -406213.062, 357982.344, -8248.31250
96, 0, -398140.062, 380186.969, -23268.9434
97, 0, -390435.031, 400677.219, -36929.8867
98, 0, -383120.375, 419264.969, -49118.5273
99, 0, -376151.469, 436060.062, -59935.0430
100, 0, -369374.344, 451571.906, -69796.3594
101, 0, -362353.750, 467278.875, -79918.3438
102, 0, -353731.219, 487818.688, -94135.9609
103, 0, -344819.312, 508630.125, -108678.984
104, 0, -336010.625, 528291.812, -122382.945
105, 0, -327419.312, 546303.250, -134857.562
106, 0, -319056.625, 562444.812, -145968.562
107, 0, -310884.406, 576506.500, -155640.922
108, 0, -302824.344, 588027.000, -163715.984
109, 0, -294726.656, 595701.125, -169685.375
110, 0, -286226.375, 595343.188, -171816.984
111, 0, -277567.250, 591196.938, -171965.172
112, 0, -268785.906, 584634.875, -170763.078
113, 0, -259859.641, 576182.750, -168484.891
114, 0, -250746.328, 566086.812, -165288.578
115, 0, -241394.562, 554517.500, -161305.344
116, 0, -231740.109, 541688.812, -156697.172
117, 0, -221684.969, 528022.812, -151744.641
118, 0, -211028.391, 514580.312, -147085.094
119, 0, -199219.172, 504584.875, -144560.734
120, 0, -186713.875, 494932.719, -142492.609
121, 0, -173633.109, 484675.188, -140398.219
122, 0, -160005.438, 473521.156, -138153.719
123, 0, -145831.734, 461469.656, -135780.359
124, 0, -131098.500, 448801.750, -133416.969
125, 0, -115763.414, 436371.812, -131419.188
126, 0, -99691.5547, 426633.812, -130734.594
127, 0, -82420.7812, 427422.062, -134287.016
128, 0, -64449.6758, 430790.562, -139260.453
129, 0, -45962.3516, 434150.375, -144788.750
130, 0, -27062.0957, 436512.562, -150579.734
131, 0, -7841.30615, 437494.062, -156547.250
132, 0, 11580.3154, 437081.938, -162718.625
133, 0, 30997.8711, 435766.594, -169269.625
134, 0, 49960.0430, 435264.781, -176748.438
135, 0, 67191.3359, 441281.188, -186934.453
136, 0, 83810.4375, 447969.375, -198035.797
137, 0, 100132.828, 453445.500, -209479.422
138, 0, 116247.078, 457016.406, -221053.672
139, 0, 132167.578, 458425.625, -232671.453
140, 0, 147866.953, 457636.094, -244290.000
141, 0, 163246.484, 454822.094, -255871.578
142, 0, 178016.234, 450563.062, -267341.375
143, 0, 191315.984, 446539.406, -278487.469
144, 0, 200348.172, 448106.000, -288611.719
145, 0, 207965.031, 449854.938, -298470.188
146, 0, 215092.875, 450059.375, -308328.188
