x, y, z, k, l
0, 0, 391091.000, -258081.641, 370524.625
0.99998, 0, 432663.188, -236502.016, 348823.438
1.99997, 0, 478198.875, -214414.641, 325022.156
3.00003, 0, 525990.062, -193043.188, 300168.969
4.00002, 0, 575344.938, -172774.641, 274676.344
5, 0, 625871.312, -153695.172, 248746.281
5.99998, 0, 677258.812, -135692.000, 222467.797
6.99997, 0, 729194.500, -118327.172, 195769.922
8.00003, 0, 781287.125, -100298.781, 168160.969
9.00002, 0, 832857.000, -77426.3828, 137733.141
10, 0, 884100.500, -53960.6016, 106771.172
11, 0, 934922.062, -31279.4883, 76149.0391
12, 0, 985138.750, -9904.49316, 46328.2617
13, 0, 1034530.62, 9949.96680, 17623.4453
14, 0, 1082846.00, 28211.7539, -9734.71289
15, 0, 1129780.12, 44925.4727, -35634.5820
16, 0, 1174904.00, 60339.1484, -60250.8086
17, 0, 1217442.25, 75241.7812, -84587.3672
18, 0, 1255463.75, 92221.8203, -112448.969
19, 0, 1290395.25, 108593.289, -139432.656
20, 0, 1322520.00, 123475.719, -163972.453
21, 0, 1351786.50, 136543.484, -185427.609
22, 0, 1378042.38, 147706.938, -203671.156
23, 0, 1401146.62, 157073.281, -219236.500
24, 0, 1421107.00, 165104.750, -234114.422
25, 0, 1438431.00, 173216.562, -254367.297
26, 0, 1455351.88, 185999.562, -299687.969
27, 0, 1468974.25, 198724.906, -349833.250
28, 0, 1478181.62, 209847.875, -398204.000
29, 0, 1482436.25, 218793.672, -442357.125
30, 0, 1481486.62, 225377.812, -481538.438
31, 0, 1475360.00, 229686.781, -516210.125
32, 0, 1464562.75, 232197.750, -548654.188
33, 0, 1450698.25, 234258.734, -585271.250
34, 0, 1438374.25, 239626.156, -643924.750
35, 0, 1442123.38, 260066.297, -780715.562
36, 0, 1447535.12, 283938.844, -939770.500
37, 0, 1450141.88, 307616.156, -1103384.25
38, 0, 1448446.12, 329874.250, -1265140.50
39, 0, 1441920.75, 350338.938, -1422329.50
40, 0, 1430191.88, 368969.125, -1573080.12
41, 0, 1412335.00, 385847.938, -1714275.88
42, 0, 1385389.88, 401062.781, -1837625.38
43, 0, 1339331.38, 414535.844, -1916655.00
44, 0, 1284888.88, 426729.156, -1978514.88
45, 0, 1225720.75, 437916.062, -2032061.50
46, 0, 1163373.25, 448297.219, -2080618.50
47, 0, 1098635.50, 458011.938, -2125396.50
48, 0, 1031961.06, 467098.031, -2166389.25
49, 0, 963579.062, 475364.281, -2202134.50
50, 0, 893396.438, 481993.906, -2227823.00
51, 0, 820428.812, 484106.500, -2227857.75
52, 0, 746157.938, 484794.156, -2217979.25
53, 0, 671196.250, 485100.719, -2203247.25
54, 0, 595890.438, 485451.875, -2185538.00
55, 0, 520498.656, 486034.562, -2165568.00
56, 0, 445272.406, 486887.594, -2143458.50
57, 0, 370546.375, 487855.750, -2118733.00
58, 0, 296930.750, 488359.062, -2089748.38
59, 0, 225879.969, 486630.781, -2051677.00
60, 0, 161742.641, 476922.062, -1989033.88
61, 0, 100323.078, 465179.156, -1917627.88
62, 0, 40322.0117, 453369.969, -1842640.50
63, 0, -18682.0898, 442267.906, -1766086.12
64, 0, -76747.4375, 432197.969, -1688835.12
65, 0, -133645.047, 423238.000, -1611224.12
66, 0, -188650.672, 415191.531, -1533174.62
67, 0, -239728.141, 407267.375, -1453917.75
68, 0, -280473.344, 396804.438, -1370687.75
69, 0, -317294.844, 386508.000, -1286300.50
70, 0, -352269.375, 377223.156, -1201613.00
71, 0, -386199.438, 369226.344, -1116885.88
72, 0, -419434.156, 362580.344, -1032177.62
73, 0, -452092.844, 357243.375, -947512.250
74, 0, -484050.031, 353090.156, -863030.250
75, 0, -514674.562, 349864.438, -779280.500
76, 0, -541933.875, 346981.156, -698055.562
77, 0, -559108.062, 342779.969, -625382.312
78, 0, -573156.312, 338738.062, -554861.250
79, 0, -586358.250, 335260.125, -484368.062
80, 0, -599565.188, 332430.281, -413151.844
81, 0, -613040.625, 330219.406, -341180.062
82, 0, -626604.125, 328551.500, -269263.594
83, 0, -639348.750, 327322.531, -199985.547
84, 0, -648488.625, 326387.375, -140796.047
85, 0, -645041.562, 325474.375, -115355.094
86, 0, -638109.250, 324706.562, -99889.3516
87, 0, -630611.625, 324089.156, -86822.2422
88, 0, -623601.375, 323612.375, -73437.7891
89, 0, -617416.062, 323300.969, -58793.2305
90, 0, -611965.062, 323281.375, -42800.5547
91, 0, -606605.938, 323940.781, -26121.1016
92, 0, -599379.500, 326404.906, -10869.6318
93, 0, -584045.688, 334265.875, -3683.86084
94, 0, -566836.562, 343901.219, 1893.53247
95, 0, -549727.000, 354152.656, 7851.31494
96, 0, -533420.500, 364598.281, 14850.1104
97, 0, -518166.500, 375074.781, 23079.2695
98, 0, -504011.438, 385518.906, 32516.1582
99, 0, -490856.031, 395902.500, 42973.9414
100, 0, -478382.219, 406193.562, 53990.9375
101, 0, -465720.656, 416301.438, 64377.9258
102, 0, -450194.125, 425914.406, 70520.3984
103, 0, -434397.906, 435372.500, 75930.8750
104, 0, -419125.500, 444783.500, 81702.5938
105, 0, -404633.844, 454164.875, 88213.1797
106, 0, -390995.656, 463455.281, 95594.5938
107, 0, -378221.344, 472453.844, 103887.164
108, 0, -366320.625, 480628.406, 113099.961
109, 0, -355375.156, 486517.875, 123241.633
110, 0, -345741.344, 485558.094, 134355.781
111, 0, -336962.375, 482270.062, 146383.312
112, 0, -328859.531, 478078.656, 159305.172
113, 0, -321337.531, 473487.844, 173114.922
114, 0, -314329.125, 468680.531, 187805.438
115, 0, -307773.406, 463714.406, 203351.562
116, 0, -301599.125, 458595.344, 219673.453
117, 0, -295694.312, 453305.438, 236542.266
118, 0, -289820.250, 447808.656, 253294.281
119, 0, -283303.062, 442028.188, 267798.375
120, 0, -276759.438, 436016.938, 282231.094
121, 0, -270369.750, 429791.844, 297296.281
122, 0, -264184.031, 423372.969, 313245.219
123, 0, -258201.906, 416815.031, 330137.125
124, 0, -252390.656, 410269.438, 347874.094
125, 0, -246669.703, 404146.250, 366083.469
126, 0, -240836.969, 399615.094, 383663.469
127, 0, -234288.609, 400432.656, 397089.750
128, 0, -227596.703, 402694.656, 409936.688
129, 0, -220933.438, 405081.656, 423353.969
130, 0, -214351.469, 407041.375, 437751.531
131, 0, -207859.375, 408305.406, 453236.625
132, 0, -201441.984, 408763.375, 469693.781
133, 0, -195056.062, 408491.031, 486652.062
134, 0, -188592.562, 407985.000, 502730.031
135, 0, -181725.766, 409080.375, 513549.875
136, 0, -174770.828, 409759.219, 523472.281
137, 0, -167826.906, 409336.875, 533873.625
138, 0, -160930.453, 407535.844, 545234.688
139, 0, -154098.250, 404233.781, 557702.375
140, 0, -147342.766, 399393.844, 571240.812
141, 0, -140681.938, 393072.844, 585609.688
142, 0, -134153.484, 385518.750, 600147.125
143, 0, -127854.203, 377506.281, 613024.562
144, 0, -122081.906, 371574.281, 618502.625
145, 0, -116538.617, 365079.656, 622333.875
146, 0, -111125.734, 357155.094, 626359.438
147, 0, -105800.492, 347487.438, 631241.438
148, 0, -100533.039, 336018.438, 637187.312
149, 0, -95282.1406, 322939.094, 644123.438
150, 0, -89958.7500, 308929.812, 651598.625
151, 0, -84326.0391, 296007.125, 658247.062
152, 0, -77642.8438, 290646.750, 659721.812
153, 0, -70652.8906, 286255.688, 660376.125
154, 0, -63595.3984, 280700.781, 661595.000
155, 0, -56557.3555, 273200.062, 663874.812
156, 0, -49564.4297, 263507.125, 667387.625
157, 0, -42596.9180, 251738.922, 672143.688
158, 0, -35563.4688, 238532.562, 678002.750
159, 0, -28206.0527, 225692.547, 684546.312
160, 0, -19798.1699, 218273.031, 690614.562
161, 0, -8046.46143, 232171.078, 692592.312
162, 0, 4758.78418, 251562.844, 694030.375
163, 0, 17892.5195, 271464.406, 696024.188
164, 0, 31099.6055, 290146.625, 698923.000
165, 0, 44297.5273, 307063.094, 702784.875
166, 0, 57490.0898, 322221.281, 707485.438
167, 0, 70763.9453, 336077.188, 712652.812
168, 0, 84376.1484, 349902.438, 717312.125
169, 0, 99121.6641, 367464.344, 718515.500
170, 0, 114236.539, 385306.906, 719079.000
171, 0, 129487.969, 402426.938, 719852.625
172, 0, 144799.906, 418520.625, 721095.062
173, 0, 160150.125, 433459.438, 722838.938
174, 0, 175537.156, 447025.812, 724980.188
175, 0, 190969.641, 458573.094, 727228.812
176, 0, 206467.703, 466147.625, 728832.625
177, 0, 222085.422, 463388.531, 727510.750
178, 0, 237771.406, 456838.781, 725479.188
179, 0, 253506.609, 448630.156, 723435.875
180, 0, 269279.406, 439574.500, 721630.562
181, 0, 285077.719, 430021.875, 720150.625
182, 0, 300883.750, 420151.781, 718995.188
183, 0, 316664.531, 410106.094, 718061.312
184, 0, 332347.719, 400102.062, 717029.812
185, 0, 347748.250, 390657.969, 714981.062
186, 0, 362301.875, 383345.688, 708987.438
187, 0, 376552.562, 376655.406, 701998.625
188, 0, 390664.719, 370145.031, 694954.938
189, 0, 404685.344, 363722.281, 688184.562
190, 0, 418609.156, 357486.656, 681769.625
191, 0, 432383.219, 351771.094, 675622.375
192, 0, 445864.188, 347405.906, 669400.938
193, 0, 458662.688, 346604.406, 662121.875
194, 0, 469564.094, 356232.000, 650685.562
195, 0, 479782.938, 369423.312, 638203.125
