x, y, z, k, l
0, 0, 180200.219, -1301.62585, -53207.0156
0.99998, 0, 213288.375, 11851.8213, -45847.1016
1.99997, 0, 249468.016, 26726.8828, -39127.1055
3.00003, 0, 287267.281, 42978.4570, -33397.3086
4.00002, 0, 326079.469, 60438.1016, -28712.6523
5, 0, 365575.438, 78966.4688, -25021.8730
5.99998, 0, 405561.719, 98379.2500, -22212.6426
6.99997, 0, 446019.500, 118340.906, -20096.6074
8.00003, 0, 487379.344, 138073.047, -18308.3516
9.00002, 0, 531571.812, 155310.000, -15920.0742
10, 0, 576133.875, 172135.969, -13599.6270
11, 0, 620094.500, 189149.109, -11454.9883
12, 0, 662925.938, 206499.016, -9422.59180
13, 0, 704264.375, 224164.594, -7382.33301
14, 0, 743844.938, 242026.828, -5214.19141
15, 0, 781542.000, 259854.094, -2865.13989
16, 0, 817556.688, 277182.156, -494.760437
17, 0, 853028.625, 292904.000, 1101.12708
18, 0, 892267.438, 303751.656, -1023.97516
19, 0, 930253.688, 312835.875, -3549.53809
20, 0, 965166.938, 321118.625, -5340.25391
21, 0, 996197.312, 328941.938, -5994.40723
22, 0, 1023029.94, 336466.844, -5553.81738
23, 0, 1045891.56, 343866.438, -4672.28564
24, 0, 1066130.38, 351534.375, -5376.03662
25, 0, 1088185.88, 360592.156, -13529.0439
26, 0, 1126818.38, 374659.938, -47840.3438
27, 0, 1166560.88, 390011.000, -89401.9688
28, 0, 1202288.50, 405430.031, -132133.109
29, 0, 1232036.38, 420476.031, -173833.781
30, 0, 1255131.50, 435045.438, -213848.094
31, 0, 1271834.75, 449324.125, -252592.312
32, 0, 1283801.00, 463991.250, -292059.500
33, 0, 1295824.62, 480886.438, -337822.938
34, 0, 1321405.62, 505105.812, -405473.438
35, 0, 1403025.12, 552627.500, -544113.250
36, 0, 1498381.12, 607551.625, -704593.500
37, 0, 1594123.75, 664845.688, -871213.750
38, 0, 1685489.75, 722702.750, -1038191.06
39, 0, 1770543.12, 780404.688, -1203115.38
