x, y, z, k, l
0, 0, -360456.906, 21689.2598, 122964.648
0.99998, 0, -356450.125, 24459.5703, 125250.672
1.99997, 0, -352267.469, 27307.9434, 127844.273
3.00003, 0, -348094.188, 30198.9629, 130966.758
4.00002, 0, -344007.781, 33111.1562, 134676.281
5, 0, -340044.219, 36028.9375, 138959.266
5.99998, 0, -336201.781, 38945.5820, 143728.688
6.99997, 0, -332401.125, 41876.4258, 148743.906
8.00003, 0, -328344.406, 44901.9062, 153338.672
9.00002, 0, -322999.969, 48325.6797, 155424.875
10, 0, -317482.719, 51788.6367, 157060.828
11, 0, -312177.750, 55154.9727, 158894.234
12, 0, -307253.219, 58355.3359, 161155.156
13, 0, -302797.062, 61345.1953, 163923.078
14, 0, -298849.781, 64096.8047, 167196.609
15, 0, -295388.250, 66608.8750, 170877.000
16, 0, -292243.406, 68943.1953, 174649.859
17, 0, -288830.906, 71343.7578, 177589.891
18, 0, -283167.906, 74667.2031, 176717.938
19, 0, -277374.250, 77975.2188, 175065.391
20, 0, -272165.406, 80948.6562, 173609.859
21, 0, -267823.156, 83467.5000, 172703.922
22, 0, -264439.906, 85514.8906, 172447.078
23, 0, -261944.859, 87194.3125, 172757.750
24, 0, -259972.797, 88863.6875, 173271.391
25, 0, -257376.219, 91583.8828, 172901.500
26, 0, -250416.109, 98762.2188, 168189.453
27, 0, -242921.156, 106943.930, 162581.625
28, 0, -236138.312, 115013.086, 157172.297
29, 0, -230538.266, 122558.602, 152355.859
30, 0, -226293.062, 129447.328, 148268.188
31, 0, -223385.047, 135739.297, 144896.797
32, 0, -221536.453, 141783.453, 142041.125
33, 0, -219889.938, 148592.281, 139084.516
34, 0, -215973.984, 159039.719, 134243.234
35, 0, -201930.359, 182223.625, 121827.281
36, 0, -185662.188, 209020.047, 107577.000
37, 0, -169695.578, 236513.453, 93340.9531
38, 0, -154963.688, 263625.000, 79821.2656
39, 0, -141873.297, 289887.156, 67346.3359
40, 0, -130704.781, 314997.812, 56158.5508
41, 0, -121893.367, 338535.188, 46614.0039
42, 0, -116542.047, 359483.375, 39541.7461
43, 0, -118102.023, 374711.281, 37421.4336
44, 0, -123108.133, 387340.500, 37876.5742
45, 0, -130441.023, 398370.344, 40176.9492
46, 0, -139660.500, 408181.406, 44061.3633
47, 0, -150521.219, 416970.344, 49380.3047
48, 0, -162757.844, 424939.000, 55906.5586
49, 0, -175856.312, 432487.094, 63074.6016
50, 0, -188506.688, 440663.375, 69295.5312
51, 0, -196699.688, 452726.250, 69536.7422
52, 0, -204297.422, 465490.406, 68786.7500
53, 0, -212488.891, 477961.250, 68629.5156
54, 0, -221675.266, 489793.469, 69647.3047
55, 0, -231970.375, 500885.688, 72059.1875
56, 0, -243314.078, 511296.594, 75865.9844
57, 0, -255394.125, 521330.281, 80751.8516
58, 0, -267297.219, 531882.125, 85641.6172
59, 0, -276381.094, 545553.875, 87272.1953
60, 0, -274169.188, 570725.125, 74997.0000
61, 0, -269276.969, 598763.000, 59789.9453
62, 0, -264495.750, 626806.812, 45250.5469
63, 0, -260863.453, 653722.625, 32749.3711
64, 0, -258746.891, 679024.125, 22784.6973
65, 0, -258109.969, 702592.438, 15288.6143
66, 0, -258402.359, 724746.125, 9395.12305
67, 0, -257867.688, 746801.438, 2284.40649
68, 0, -250870.328, 773266.688, -15217.0449
69, 0, -242986.891, 799413.562, -33844.5312
70, 0, -235942.734, 823692.125, -50646.0352
71, 0, -230304.922, 845515.375, -64561.2109
72, 0, -226218.250, 864654.750, -75221.0234
73, 0, -223626.219, 881062.750, -82605.3047
74, 0, -222305.516, 894858.375, -87034.7812
75, 0, -221750.266, 906463.062, -89488.3438
76, 0, -220719.484, 917103.000, -92730.7422
77, 0, -215552.922, 930681.250, -105469.984
78, 0, -209616.719, 943219.438, -119053.453
79, 0, -203873.734, 953418.125, -130754.234
80, 0, -198569.594, 960771.312, -139618.969
81, 0, -193693.875, 965042.250, -145342.344
82, 0, -189118.812, 966086.562, -147951.359
83, 0, -184618.391, 963775.625, -147829.656
84, 0, -179770.922, 957942.188, -146174.172
85, 0, -173528.172, 948272.312, -146841.266
86, 0, -166701.750, 934883.000, -145916.453
87, 0, -159501.047, 917783.375, -142139.156
88, 0, -152000.344, 897057.125, -135096.172
89, 0, -144318.500, 873080.750, -124844.391
90, 0, -136799.453, 846989.938, -112068.508
91, 0, -130400.695, 821882.875, -98866.3125
92, 0, -127839.023, 806473.062, -91292.5234
93, 0, -137721.375, 828303.250, -108627.289
94, 0, -151423.625, 859747.562, -131474.875
95, 0, -166202.594, 891997.188, -153635.562
96, 0, -181068.641, 921864.125, -172850.344
97, 0, -195646.375, 948159.062, -188270.703
98, 0, -209802.688, 970548.938, -199684.234
99, 0, -223509.250, 989228.500, -207348.609
100, 0, -236794.719, 1005054.56, -212250.594
101, 0, -249752.438, 1020441.69, -217225.453
102, 0, -262647.219, 1042853.00, -231168.578
103, 0, -275241.969, 1065034.38, -245344.516
104, 0, -287446.156, 1084745.25, -257068.344
105, 0, -299166.438, 1101201.12, -265478.438
106, 0, -310204.625, 1114030.75, -270372.938
107, 0, -320081.281, 1122794.88, -271841.531
108, 0, -327596.844, 1126447.12, -270166.875
109, 0, -329504.375, 1122016.12, -265918.969
110, 0, -315711.219, 1100000.38, -260504.250
111, 0, -296134.125, 1070015.25, -252894.953
112, 0, -273879.469, 1035163.50, -242885.953
113, 0, -250043.297, 996623.375, -230515.672
114, 0, -225038.594, 954928.500, -215916.016
115, 0, -199031.094, 910420.875, -199287.484
116, 0, -172107.031, 863501.688, -180949.312
117, 0, -144351.047, 814950.188, -161519.047
