x, y, z, k, l
0, 0, 34808.1055, 83912.2031, -39808.8398
0.99998, 0, 60537.2930, 93512.8750, -30318.7266
1.99997, 0, 88577.3203, 104771.633, -20854.5176
3.00003, 0, 117703.555, 117555.703, -11699.6611
4.00002, 0, 147406.828, 131756.562, -2916.16650
5, 0, 177418.656, 147241.031, 5504.06738
5.99998, 0, 207613.688, 163799.219, 13591.4463
6.99997, 0, 238092.703, 181024.812, 21376.2734
8.00003, 0, 269564.219, 197953.641, 28860.3516
9.00002, 0, 304774.156, 211754.641, 35927.8594
10, 0, 340488.062, 225054.250, 42847.5430
11, 0, 375501.969, 238614.672, 49768.5234
12, 0, 409216.406, 252637.172, 56805.8281
13, 0, 441257.688, 267113.781, 64056.0664
14, 0, 471389.500, 281925.781, 71583.2500
15, 0, 499565.500, 296842.156, 79367.6797
16, 0, 526178.188, 311414.781, 87166.5078
17, 0, 552868.812, 324603.562, 94088.9922
18, 0, 585482.562, 333382.031, 97065.6172
19, 0, 617524.812, 340593.750, 99378.6250
20, 0, 646736.188, 347111.781, 102107.812
21, 0, 672189.188, 353251.219, 105615.320
22, 0, 693592.000, 359187.750, 109875.164
23, 0, 711310.500, 365171.750, 114389.641
24, 0, 727034.062, 371817.719, 117653.312
25, 0, 746073.062, 380871.188, 115374.758
26, 0, 785812.250, 397927.000, 93965.2969
27, 0, 828287.375, 417275.438, 67001.9141
28, 0, 867612.375, 437065.531, 38813.0234
29, 0, 901570.812, 456626.594, 10953.7861
30, 0, 929416.625, 475786.156, -16094.0635
31, 0, 951424.438, 494773.156, -42566.3672
32, 0, 969352.188, 514476.750, -69750.6875
33, 0, 988289.625, 537329.625, -101353.750
34, 0, 1022586.62, 570097.562, -147896.016
35, 0, 1117468.62, 634036.438, -242730.062
36, 0, 1227783.88, 707947.375, -352322.781
37, 0, 1339219.88, 785104.562, -465908.750
38, 0, 1446620.50, 863090.812, -579472.250
39, 0, 1547904.38, 940982.062, -691315.062
40, 0, 1641844.25, 1018394.94, -800566.250
41, 0, 1726643.75, 1095043.38, -906508.750
42, 0, 1797560.88, 1170298.75, -1007953.56
43, 0, 1839302.12, 1242056.12, -1101682.00
44, 0, 1867731.50, 1312672.75, -1190643.00
45, 0, 1888088.00, 1382970.38, -1275703.00
46, 0, 1902395.62, 1453255.50, -1357126.88
47, 0, 1911436.62, 1523526.00, -1435024.38
48, 0, 1915252.25, 1593361.00, -1509587.25
49, 0, 1912952.25, 1661421.50, -1581412.75
50, 0, 1901481.88, 1723825.75, -1652353.12
51, 0, 1870830.38, 1768212.12, -1728517.50
52, 0, 1831018.00, 1806982.50, -1803525.25
53, 0, 1785219.00, 1844102.00, -1875250.38
54, 0, 1734571.25, 1881006.38, -1942842.12
55, 0, 1679464.75, 1918171.00, -2005928.25
56, 0, 1619877.62, 1955489.12, -2064418.25
57, 0, 1555308.88, 1992105.38, -2118580.50
58, 0, 1484238.62, 2025522.12, -2169479.25
59, 0, 1402298.12, 2048636.38, -2220431.75
60, 0, 1295535.50, 2038861.00, -2282366.25
61, 0, 1178133.25, 2019143.12, -2343685.00
62, 0, 1054742.25, 1996955.88, -2400419.75
63, 0, 927199.812, 1975126.50, -2450873.25
64, 0, 796371.562, 1954723.88, -2494160.75
65, 0, 662764.750, 1935806.62, -2529759.25
66, 0, 526817.688, 1917228.00, -2557384.25
67, 0, 389218.812, 1895100.38, -2577049.25
68, 0, 251784.516, 1856768.38, -2589489.00
69, 0, 112765.234, 1814945.25, -2593577.25
70, 0, -28414.6660, 1773637.12, -2588971.00
71, 0, -171973.016, 1734231.38, -2575648.75
72, 0, -317950.406, 1697160.62, -2553776.00
73, 0, -466165.469, 1662413.88, -2523661.75
74, 0, -615949.625, 1629646.38, -2485766.00
75, 0, -765381.062, 1598005.50, -2440802.50
76, 0, -908914.688, 1565373.00, -2390110.25
77, 0, -1028797.31, 1525496.88, -2337071.75
78, 0, -1143015.75, 1484158.62, -2278961.75
79, 0, -1257278.38, 1443039.00, -2215149.50
80, 0, -1373415.25, 1402620.88, -2145674.25
81, 0, -1491358.88, 1363025.25, -2070902.75
82, 0, -1609013.00, 1324368.00, -1991551.12
83, 0, -1720172.12, 1287104.62, -1909045.12
84, 0, -1807415.75, 1252815.12, -1826766.75
