x, y, z, k, l
0, 0, 140993.469, 32288.7266, -63020.2148
0.99998, 0, 171916.297, 44259.2227, -54153.7812
1.99997, 0, 205703.594, 57999.4141, -45700.2812
3.00003, 0, 240952.797, 73253.5312, -38032.0781
4.00002, 0, 277084.656, 89876.4141, -31219.5664
5, 0, 313788.562, 107726.688, -25227.5918
5.99998, 0, 350893.562, 126598.562, -19966.5059
6.99997, 0, 388420.531, 146100.203, -15285.8486
8.00003, 0, 426890.062, 165302.484, -10900.3340
9.00002, 0, 468492.438, 181474.188, -6102.77393
10, 0, 510518.844, 197156.703, -1370.81165
11, 0, 551922.688, 213090.438, 3235.81543
12, 0, 592150.875, 229472.781, 7785.54443
13, 0, 630833.562, 246296.000, 12386.4902
14, 0, 667711.688, 263438.281, 17138.9570
15, 0, 702682.250, 280652.344, 22073.2148
16, 0, 736007.562, 297438.000, 27008.4473
17, 0, 768996.062, 312599.188, 31138.2324
18, 0, 806484.750, 322602.094, 31549.4961
19, 0, 842939.750, 330816.562, 31464.3887
20, 0, 876385.812, 338287.906, 31966.1035
21, 0, 905970.875, 345391.781, 33423.4570
22, 0, 931390.688, 352310.781, 35783.2773
23, 0, 952932.688, 359246.188, 38425.2812
24, 0, 972102.250, 366651.500, 39471.7422
25, 0, 993756.875, 375805.906, 33541.2305
26, 0, 1033942.69, 390820.250, 3540.90259
27, 0, 1075940.88, 407480.188, -33375.1094
28, 0, 1114238.75, 424415.969, -71722.0938
29, 0, 1146741.75, 441133.188, -109528.984
30, 0, 1172743.75, 457516.594, -146205.516
31, 0, 1192529.62, 473771.969, -182108.719
32, 0, 1207848.00, 490648.344, -218999.031
33, 0, 1223740.75, 510171.281, -261854.500
34, 0, 1254386.62, 537950.250, -324692.438
35, 0, 1344396.88, 591575.688, -451796.656
36, 0, 1449333.12, 653531.438, -598757.562
37, 0, 1555153.62, 718267.062, -751362.375
38, 0, 1656830.62, 783786.812, -904354.250
39, 0, 1752316.00, 849306.000, -1055541.75
40, 0, 1840262.88, 914426.500, -1203787.88
41, 0, 1918387.25, 978672.438, -1348023.00
42, 0, 1980417.00, 1040830.25, -1486132.75
43, 0, 2006034.75, 1096935.50, -1611878.75
44, 0, 2016322.25, 1151201.00, -1731372.25
45, 0, 2018240.50, 1205036.62, -1846513.75
46, 0, 2014479.25, 1258959.12, -1957913.00
47, 0, 2006085.38, 1313039.88, -2065657.88
48, 0, 1993129.50, 1366867.88, -2169481.25
49, 0, 1974461.00, 1419058.38, -2268606.50
50, 0, 1946085.62, 1465576.00, -2361005.00
51, 0, 1894844.88, 1493562.12, -2440585.00
52, 0, 1834068.25, 1515939.62, -2512948.25
53, 0, 1768036.50, 1536848.62, -2579719.75
54, 0, 1698332.12, 1557795.25, -2641355.50
55, 0, 1625547.75, 1579287.88, -2697884.00
56, 0, 1549746.62, 1601240.75, -2749076.50
57, 0, 1470414.25, 1622822.75, -2794342.25
58, 0, 1385849.38, 1641585.25, -2832246.25
59, 0, 1291065.12, 1650556.62, -2858940.75
60, 0, 1170039.12, 1627551.88, -2862435.00
61, 0, 1039181.81, 1595164.25, -2854569.75
62, 0, 903913.562, 1560783.38, -2839091.00
63, 0, 766406.312, 1527245.00, -2817328.25
64, 0, 627708.188, 1495679.75, -2789713.75
65, 0, 488450.750, 1466277.75, -2756188.75
66, 0, 349183.781, 1438174.12, -2716148.25
67, 0, 210749.031, 1408185.75, -2667769.75
68, 0, 75326.4453, 1365785.25, -2605330.25
69, 0, -59168.3906, 1321616.25, -2534404.75
70, 0, -193451.250, 1279028.75, -2456762.00
71, 0, -327846.281, 1239167.38, -2373085.75
72, 0, -462509.125, 1202366.62, -2283727.25
73, 0, -597398.250, 1168584.88, -2188979.25
74, 0, -732032.125, 1137506.38, -2089254.88
75, 0, -864780.500, 1108416.75, -1985383.50
76, 0, -990676.250, 1079626.75, -1879440.75
77, 0, -1093494.62, 1046277.00, -1777733.25
78, 0, -1189966.88, 1012741.62, -1674069.62
79, 0, -1285510.25, 980248.375, -1566562.88
80, 0, -1381979.62, 949108.438, -1454735.62
81, 0, -1479513.75, 919364.000, -1338903.25
82, 0, -1576459.62, 891073.500, -1220409.88
83, 0, -1667578.38, 864604.875, -1102858.75
84, 0, -1737875.50, 841324.188, -996135.562
85, 0, -1739904.38, 825974.125, -931114.875
86, 0, -1721162.00, 813457.438, -877181.812
87, 0, -1696750.38, 802075.375, -824699.250
88, 0, -1672082.88, 791189.188, -770312.062
89, 0, -1649097.00, 780619.188, -712936.312
90, 0, -1628170.38, 770553.375, -652549.375
91, 0, -1608541.62, 761793.062, -590006.375
92, 0, -1587549.12, 756718.750, -527807.750
93, 0, -1556847.75, 762905.125, -473549.531
94, 0, -1524408.12, 772765.562, -420077.281
95, 0, -1492630.88, 783892.312, -365258.438
96, 0, -1462267.12, 795422.688, -308446.906
97, 0, -1433483.38, 807034.000, -249527.703
98, 0, -1406169.50, 818608.062, -188652.188
99, 0, -1379965.62, 830090.938, -126251.859
100, 0, -1354038.25, 841400.438, -63342.9375
101, 0, -1326259.75, 852281.625, -2582.36230
102, 0, -1290174.75, 861857.375, 47845.5430
103, 0, -1252019.88, 871060.375, 96001.5703
104, 0, -1213707.38, 880174.562, 144413.141
105, 0, -1175850.88, 889237.500, 193930.453
106, 0, -1138576.38, 898084.688, 244732.328
107, 0, -1101738.62, 906210.125, 296524.938
108, 0, -1064872.88, 912309.312, 348279.750
109, 0, -1026778.31, 912845.688, 397088.938
110, 0, -983872.000, 896830.688, 433846.844
111, 0, -939528.562, 875099.938, 467565.562
112, 0, -894759.000, 851050.812, 501091.562
113, 0, -849878.750, 825866.438, 535436.562
114, 0, -804969.250, 799956.438, 570949.688
115, 0, -760032.562, 773428.812, 607649.875
116, 0, -715059.188, 746269.250, 645234.562
117, 0, -670080.000, 718415.938, 682774.625
118, 0, -625263.375, 689791.750, 717631.750
119, 0, -581232.438, 660312.875, 741464.500
120, 0, -537332.438, 629951.625, 762598.438
121, 0, -493369.094, 598693.250, 783666.812
122, 0, -449312.062, 566569.312, 805580.438
123, 0, -405244.156, 533717.562, 828574.125
124, 0, -361421.312, 500526.594, 852434.875
125, 0, -318498.875, 468026.938, 876294.125
126, 0, -278262.281, 439106.344, 897633.688
127, 0, -246301.328, 422945.531, 908509.500
128, 0, -217021.500, 410132.875, 916824.188
129, 0, -188625.719, 397551.375, 925073.938
130, 0, -160459.078, 383970.375, 934124.125
131, 0, -132313.703, 368883.906, 944206.625
132, 0, -104280.250, 352239.469, 955146.812
133, 0, -76890.8828, 334602.781, 966193.562
134, 0, -51784.5625, 318033.062, 975164.312
135, 0, -34228.3086, 309430.938, 975182.125
136, 0, -18933.2910, 301654.094, 973058.562
137, 0, -4211.78223, 292378.094, 970942.188
138, 0, 10548.8477, 280731.656, 969594.312
139, 0, 25568.4473, 266386.875, 969278.875
