x, y, z, k, l
0, 0, -284735.188, -76024.7188, 77947.6016
0.99998, 0, -283802.156, -74755.0000, 78047.6562
1.99997, 0, -282835.188, -73807.1797, 78295.9531
3.00003, 0, -281773.219, -73154.3594, 78781.9688
4.00002, 0, -280602.531, -72779.3047, 79527.5391
5, 0, -279326.906, -72660.6406, 80525.1484
5.99998, 0, -277962.688, -72759.2578, 81737.4766
6.99997, 0, -276548.156, -72989.7266, 83064.8516
8.00003, 0, -275181.000, -73133.0781, 84235.3516
9.00002, 0, -274156.781, -72521.7344, 84401.8359
10, 0, -273194.625, -71807.0781, 84391.6797
11, 0, -272210.688, -71193.4688, 84462.4609
12, 0, -271180.094, -70753.2266, 84703.6406
13, 0, -270098.969, -70511.1172, 85145.2031
14, 0, -268972.656, -70466.4141, 85786.9375
15, 0, -267812.469, -70587.8047, 86593.9453
16, 0, -266637.500, -70775.8672, 87455.4219
17, 0, -265484.875, -70737.5625, 88045.0469
18, 0, -264449.250, -69527.5391, 87312.2812
19, 0, -263462.000, -68113.2031, 86319.2812
20, 0, -262511.469, -66808.2188, 85404.5469
21, 0, -261603.609, -65725.8359, 84685.5703
22, 0, -260750.859, -64894.5781, 84190.2031
23, 0, -259968.797, -64274.7891, 83882.2266
24, 0, -259275.047, -63709.0273, 83626.4453
25, 0, -258690.438, -62730.6211, 83037.5625
26, 0, -258244.781, -59850.5742, 80911.4688
27, 0, -257944.250, -56560.7500, 78419.0859
28, 0, -257802.188, -53337.4141, 75923.2812
29, 0, -257832.766, -50352.8711, 73548.8906
30, 0, -258049.000, -47663.8945, 71336.0859
31, 0, -258461.531, -45254.2305, 69280.2031
32, 0, -259077.234, -43005.8906, 67321.3125
33, 0, -259896.422, -40570.9141, 65273.7500
34, 0, -260904.094, -36956.5039, 62593.5273
35, 0, -262037.891, -29013.8887, 57530.3789
36, 0, -263380.781, -19901.5488, 51862.1055
37, 0, -264966.031, -10628.6973, 46167.0977
38, 0, -266814.594, -1569.99438, 40672.7891
39, 0, -268954.031, 7108.07227, 35496.2305
40, 0, -271444.219, 15287.9756, 30737.6191
41, 0, -274437.156, 22789.8047, 26554.5410
42, 0, -278353.875, 29169.3027, 23312.6680
43, 0, -284518.281, 33054.0312, 22093.2129
44, 0, -291619.969, 35809.1328, 21876.0918
45, 0, -299245.625, 37871.2227, 22353.4277
46, 0, -307244.344, 39407.7031, 23420.8008
47, 0, -315546.281, 40508.2188, 25026.6465
48, 0, -324090.719, 41269.5781, 27100.3125
49, 0, -332764.219, 41885.0234, 29465.8848
50, 0, -341270.125, 42856.4023, 31627.6426
51, 0, -348684.219, 45729.5078, 32018.2207
52, 0, -355910.719, 49018.5508, 32177.6250
53, 0, -363236.406, 52267.0156, 32590.6289
54, 0, -370769.406, 55320.0039, 33434.4336
55, 0, -378555.281, 58132.1484, 34778.1836
56, 0, -386600.531, 60727.2148, 36627.8398
57, 0, -394847.094, 63237.6953, 38893.3086
58, 0, -403071.938, 66064.3516, 41243.6641
59, 0, -410569.375, 70388.5078, 42643.9609
60, 0, -415001.125, 80034.7891, 39677.7500
61, 0, -418796.875, 91070.5781, 35886.5039
62, 0, -422756.594, 102200.852, 32435.1230
63, 0, -427185.750, 112921.797, 29769.0039
64, 0, -432192.750, 123030.312, 28049.8730
65, 0, -437752.062, 132502.953, 27250.8125
66, 0, -443640.719, 141546.875, 27071.8203
67, 0, -449146.938, 150914.172, 26539.0352
68, 0, -451969.500, 163115.578, 22487.5176
69, 0, -454408.562, 175567.172, 18099.5605
70, 0, -457187.625, 187431.406, 14384.4814
71, 0, -460557.625, 198394.406, 11702.5469
72, 0, -464596.469, 208333.297, 10178.0625
73, 0, -469292.344, 217219.359, 9815.47852
74, 0, -474539.312, 225111.141, 10496.6943
75, 0, -480042.156, 232230.500, 11857.7734
76, 0, -484986.875, 239239.797, 12860.0566
77, 0, -486832.719, 248269.828, 10215.1602
78, 0, -488063.375, 257139.484, 7199.18799
79, 0, -489444.188, 265134.562, 4845.19482
80, 0, -491222.000, 271974.438, 3512.33301
81, 0, -493440.438, 277522.969, 3308.00293
82, 0, -496004.375, 281685.188, 4197.85791
83, 0, -498602.281, 284348.875, 5972.25684
84, 0, -500360.906, 285302.625, 7999.83105
85, 0, -498545.094, 283988.844, 8265.72461
86, 0, -495845.750, 280874.531, 8778.85352
87, 0, -493105.094, 276094.812, 10171.3438
88, 0, -490609.625, 269736.906, 12640.5107
89, 0, -488425.688, 262003.094, 16154.8574
90, 0, -486459.844, 253463.328, 20393.8477
91, 0, -484354.812, 245668.219, 24395.4805
92, 0, -481061.188, 242989.094, 25404.7031
93, 0, -473240.438, 259260.703, 14678.1826
94, 0, -464214.125, 280615.625, 947.731262
95, 0, -455030.375, 302634.062, -13015.5635
96, 0, -446061.781, 323714.094, -26212.9922
97, 0, -437442.656, 343253.062, -38270.7656
98, 0, -429203.812, 361078.344, -49085.6484
99, 0, -421303.625, 377292.750, -58741.0508
100, 0, -413591.031, 392369.406, -67599.6875
101, 0, -405638.375, 407680.750, -76731.7031
102, 0, -396112.562, 427531.781, -89528.4297
103, 0, -386299.156, 447689.562, -102645.930
104, 0, -376584.219, 466835.219, -115048.820
105, 0, -367086.250, 484504.438, -126387.820
106, 0, -357834.812, 500493.781, -136541.281
107, 0, -348838.969, 514609.188, -145442.047
108, 0, -340138.188, 526424.188, -152953.984
109, 0, -331899.062, 534732.750, -158645.750
110, 0, -324736.250, 535665.250, -161050.625
111, 0, -317935.969, 533148.812, -161736.047
112, 0, -311235.969, 528454.625, -161236.734
113, 0, -304508.562, 522070.500, -159784.609
114, 0, -297671.719, 514225.406, -157514.469
115, 0, -290657.125, 505077.844, -154540.156
116, 0, -283391.406, 494827.594, -151004.359
117, 0, -275769.312, 483869.531, -147155.938
118, 0, -267584.312, 473197.969, -143561.094
119, 0, -258285.828, 465837.062, -141856.312
120, 0, -248305.578, 458875.500, -140551.828
121, 0, -237747.125, 451423.688, -139219.500
122, 0, -226623.422, 443208.375, -137748.750
123, 0, -214915.750, 434227.750, -136156.703
124, 0, -202575.984, 424743.312, -134563.797
125, 0, -189482.688, 415551.594, -133282.781
126, 0, -175288.188, 408942.469, -133153.453
127, 0, -158862.688, 412229.656, -136777.438
128, 0, -141364.156, 417990.062, -141640.031
129, 0, -123187.195, 423802.094, -146964.266
130, 0, -104513.820, 428736.562, -152484.266
131, 0, -85467.2266, 432426.969, -158117.406
132, 0, -66169.2031, 434845.781, -163881.953
133, 0, -46785.3828, 436418.406, -169928.750
134, 0, -27622.2676, 438666.875, -176741.750
135, 0, -9463.32617, 446673.594, -185906.109
136, 0, 8300.94824, 455211.875, -195814.000
137, 0, 25820.1641, 462594.125, -205948.703
138, 0, 43119.4375, 468197.719, -216117.984
139, 0, 60186.5469, 471791.156, -226242.859
140, 0, 76984.8828, 473338.438, -236286.891
141, 0, 93421.1562, 472987.375, -246223.625
142, 0, 109236.617, 471231.594, -256006.078
143, 0, 123670.188, 469499.094, -265499.906
144, 0, 134248.844, 472332.469, -274254.344
145, 0, 143492.906, 475150.625, -282767.656
146, 0, 152222.172, 476493.719, -291219.469
147, 0, 160748.891, 475857.062, -299691.031
148, 0, 169196.000, 473130.844, -308214.562
149, 0, 177579.641, 468505.938, -316765.344
150, 0, 185787.703, 462672.406, -325198.219
151, 0, 193413.828, 457623.531, -333038.719
152, 0, 199110.469, 459665.375, -338723.750
153, 0, 204230.578, 462490.906, -343837.969
154, 0, 209202.953, 464092.781, -348889.812
155, 0, 214185.188, 463754.844, -354065.812
156, 0, 219244.781, 461252.438, -359427.750
157, 0, 224419.172, 456660.781, -364950.000
158, 0, 229740.188, 450446.406, -370468.344
159, 0, 235249.609, 443933.094, -375490.000
160, 0, 241025.078, 440823.500, -378591.906
161, 0, 247267.531, 452751.656, -375242.031
162, 0, 253794.688, 468179.500, -369960.906
163, 0, 260550.141, 483494.344, -364173.500
164, 0, 267510.562, 497466.812, -358378.062
165, 0, 274653.281, 509742.938, -352734.844
166, 0, 281929.156, 520402.781, -347234.062
167, 0, 289209.688, 529933.812, -341695.094
168, 0, 296132.906, 539652.875, -335570.156
169, 0, 301552.375, 553489.875, -327142.812
170, 0, 306606.906, 567788.625, -318065.562
171, 0, 311653.250, 581476.250, -308839.375
172, 0, 316806.688, 594235.562, -299625.094
173, 0, 322071.188, 605985.500, -290467.062
174, 0, 327336.281, 616677.312, -281365.344
175, 0, 332256.500, 626129.062, -272299.562
176, 0, 335835.688, 633690.062, -263229.656
177, 0, 334902.625, 637108.625, -254066.797
178, 0, 332652.125, 638818.188, -244838.406
179, 0, 330110.062, 639638.875, -235538.531
180, 0, 327657.375, 639901.000, -226158.719
181, 0, 325449.750, 639761.062, -216693.156
182, 0, 323553.312, 639316.500, -207131.391
183, 0, 321993.312, 638675.312, -197434.344
184, 0, 320766.312, 638048.562, -187471.438
185, 0, 319820.344, 637984.562, -176834.984
186, 0, 318949.969, 640184.062, -164183.703
187, 0, 318432.406, 642995.750, -150854.484
188, 0, 318386.031, 645921.438, -137260.484
189, 0, 318887.188, 648822.562, -123531.758
190, 0, 320015.219, 651725.062, -109677.289
191, 0, 321898.219, 654811.750, -95601.7031
192, 0, 324814.344, 658567.812, -81015.6250
193, 0, 329494.875, 664300.875, -65102.2773
194, 0, 338219.906, 676069.250, -45280.7461
195, 0, 348708.625, 689853.250, -24132.7969
196, 0, 360203.906, 704359.000, -2500.78687
197, 0, 372380.406, 719087.375, 19274.6172
198, 0, 385044.469, 733804.625, 41013.9375
199, 0, 398034.188, 748374.125, 62587.7305
200, 0, 411169.500, 762696.125, 83869.1094
201, 0, 424190.094, 776683.250, 104692.984
202, 0, 436586.312, 790241.375, 124762.305
203, 0, 446982.625, 803212.312, 143314.344
204, 0, 456621.469, 815710.312, 160997.031
205, 0, 465889.500, 827787.688, 178008.453
206, 0, 474935.938, 839490.438, 194430.188
207, 0, 483835.188, 850865.438, 210309.438
208, 0, 492622.094, 861945.562, 225659.484
209, 0, 501260.969, 872701.188, 240387.859
210, 0, 509498.781, 882888.562, 254041.453
0, 1, -282624.656, -76003.6562, 76944.0234
0.99998, 1, -281478.344, -74663.8906, 77301.3672
1.99997, 1, -280355.812, -73657.5781, 77716.4609
3.00003, 1, -279190.219, -72947.3203, 78283.2188
4.00002, 1, -277955.125, -72501.5312, 79036.0469
5, 1, -276647.250, -72283.9766, 79970.5234
5.99998, 1, -275281.125, -72240.0000, 81043.2344
6.99997, 1, -273894.656, -72272.3672, 82147.8047
8.00003, 1, -272565.406, -72199.9141, 83065.1953
9.00002, 1, -271412.156, -71752.2500, 83457.6875
10, 1, -270327.562, -71178.5547, 83645.3047
11, 1, -269244.594, -70638.7031, 83832.6016
12, 1, -268134.125, -70207.2109, 84115.2891
13, 1, -266987.469, -69910.3203, 84528.4297
14, 1, -265806.719, -69741.5156, 85067.6484
15, 1, -264601.594, -69656.0859, 85684.8203
16, 1, -263390.094, -69542.1250, 86256.1641
17, 1, -262202.875, -69163.3047, 86518.8750
18, 1, -261083.656, -68150.9609, 86062.0000
19, 1, -260013.109, -66887.8203, 85304.1328
20, 1, -258984.531, -65621.0234, 84514.2344
21, 1, -258003.188, -64463.8242, 83814.5703
22, 1, -257081.000, -63441.5000, 83235.9141
23, 1, -256233.750, -62499.2031, 82733.6094
24, 1, -255479.719, -61464.8984, 82163.0938
25, 1, -254839.547, -59964.2891, 81214.3203
26, 1, -254335.734, -57411.7578, 79405.9844
27, 1, -253980.797, -54391.7383, 77189.5391
28, 1, -253787.688, -51281.0117, 74853.2734
29, 1, -253769.672, -48256.3164, 72530.8516
30, 1, -253939.359, -45374.8516, 70269.1484
31, 1, -254307.969, -42600.9609, 68055.9922
32, 1, -254883.938, -39776.9609, 65809.7344
33, 1, -255670.469, -36522.6133, 63325.5391
34, 1, -256661.484, -32045.0586, 60169.4453
35, 1, -257841.641, -25115.4512, 55665.0977
36, 1, -259252.562, -16988.0371, 50527.9141
37, 1, -260927.266, -8488.76465, 45237.6836
38, 1, -262895.688, -45.9634247, 40056.2773
39, 1, -265200.562, 8103.95459, 35144.8398
40, 1, -267923.438, 15782.2861, 30643.0742
41, 1, -271233.375, 22766.1621, 26735.7500
42, 1, -275470.250, 28679.5352, 23731.5469
43, 1, -281155.812, 32971.1133, 22076.9277
44, 1, -287773.281, 36175.0547, 21386.1113
45, 1, -294982.250, 38648.0703, 21408.7070
46, 1, -302603.875, 40585.9102, 22014.2656
47, 1, -310531.594, 42119.9141, 23113.9395
48, 1, -318668.875, 43391.5938, 24596.1016
49, 1, -326874.438, 44630.0312, 26251.9531
50, 1, -334894.969, 46257.7617, 27670.1367
51, 1, -342352.719, 48908.9375, 28219.6367
52, 1, -349592.531, 52023.7969, 28491.6484
53, 1, -356837.812, 55250.1211, 28865.0977
54, 1, -364195.406, 58435.6016, 29517.5508
55, 1, -371703.469, 61548.4688, 30510.2227
56, 1, -379344.000, 64655.4258, 31815.5332
57, 1, -387016.219, 67961.9922, 33282.8789
58, 1, -394457.906, 71936.0156, 34525.5898
59, 1, -401098.844, 77539.7578, 34707.7734
60, 1, -406040.250, 86257.4062, 32514.4609
61, 1, -410261.219, 96507.1250, 29371.3555
62, 1, -414409.719, 107229.398, 26222.4668
63, 1, -418810.156, 117873.242, 23542.0234
64, 1, -423588.094, 128186.406, 21519.0645
65, 1, -428712.000, 138129.312, 20121.2891
66, 1, -433949.188, 147903.953, 19037.7988
67, 1, -438740.531, 158083.203, 17507.0859
68, 1, -442188.969, 169617.469, 14302.2500
69, 1, -445198.062, 181466.125, 10680.3359
70, 1, -448344.500, 192951.500, 7449.31738
71, 1, -451895.938, 203737.406, 4993.72949
72, 1, -455946.219, 213676.906, 3462.01562
73, 1, -460476.844, 222737.578, 2853.48633
74, 1, -465352.969, 230994.094, 3016.09424
75, 1, -470251.500, 238683.375, 3553.71533
76, 1, -474511.562, 246328.141, 3631.99097
77, 1, -477115.094, 254749.734, 1953.90247
78, 1, -479015.438, 263074.656, -200.949738
79, 1, -480811.438, 270724.094, -2012.68872
80, 1, -482759.469, 277393.906, -3100.56201
81, 1, -484907.531, 282916.531, -3335.23486
82, 1, -487137.875, 287175.906, -2756.83789
83, 1, -489113.250, 290053.594, -1590.73950
84, 1, -490127.906, 291383.250, -347.716522
85, 1, -489093.125, 290944.688, 168.282013
86, 1, -487053.594, 288942.375, 725.923950
87, 1, -484678.312, 285554.938, 1796.61182
88, 1, -482270.281, 280990.875, 3539.37793
89, 1, -479905.938, 275631.344, 5853.74023
90, 1, -477471.125, 270286.031, 8298.23730
91, 1, -474586.344, 266693.344, 9810.45215
92, 1, -470418.438, 268383.969, 8176.29834
93, 1, -463660.812, 280797.062, -38.9375648
94, 1, -455623.500, 298471.219, -11397.8730
95, 1, -447156.688, 317847.500, -23665.2656
96, 1, -438677.594, 337164.781, -35738.7891
97, 1, -430371.719, 355620.938, -47120.4844
98, 1, -422299.188, 372920.469, -57636.8086
99, 1, -414427.406, 389114.656, -67351.0078
100, 1, -406609.219, 404645.000, -76617.5391
101, 1, -398511.656, 420559.094, -86263.9766
102, 1, -389609.156, 438522.938, -97608.4062
103, 1, -380400.906, 456856.406, -109331.633
104, 1, -371200.656, 474467.312, -120587.461
105, 1, -362151.719, 490795.656, -130965.133
106, 1, -353314.375, 505512.844, -140264.703
107, 1, -344724.469, 518301.094, -148349.141
108, 1, -336440.031, 528641.250, -155031.125
109, 1, -328593.469, 535537.250, -159950.531
110, 1, -321402.375, 537470.125, -162548.719
111, 1, -314559.469, 536001.312, -163468.578
112, 1, -307846.406, 532171.375, -163152.766
113, 1, -301127.562, 526535.688, -161858.625
114, 1, -294306.938, 519415.312, -159757.672
115, 1, -287300.406, 511057.094, -157001.203
116, 1, -280016.000, 501749.562, -153772.031
117, 1, -272331.219, 491958.219, -150350.859
118, 1, -264059.844, 482524.219, -147218.156
119, 1, -254946.234, 474697.219, -145069.234
120, 1, -245125.750, 467394.125, -143367.812
121, 1, -234671.875, 459952.312, -141792.797
122, 1, -223596.766, 452133.750, -140235.281
123, 1, -211871.672, 444001.688, -138723.969
124, 1, -199424.188, 435940.719, -137415.516
125, 1, -186106.266, 428862.938, -136660.125
126, 1, -171628.234, 424633.500, -137149.359
127, 1, -155552.422, 426114.375, -139932.938
128, 1, -138358.625, 430342.812, -144040.578
129, 1, -120393.195, 435342.625, -148844.812
130, 1, -101877.969, 440095.875, -154046.469
131, 1, -82981.1250, 444145.906, -159532.234
132, 1, -63864.1172, 447440.656, -165315.000
133, 1, -44721.6445, 450401.938, -171550.016
134, 1, -25830.8555, 454195.688, -178616.047
135, 1, -7559.12354, 460752.406, -187121.062
136, 1, 10282.2803, 467976.219, -196416.281
137, 1, 27798.7734, 474510.812, -206070.906
138, 1, 45015.5039, 479696.000, -215859.047
139, 1, 61910.4492, 483258.531, -225661.219
140, 1, 78417.0703, 485161.344, -235405.859
141, 1, 94391.0938, 485591.062, -245035.500
142, 1, 109525.242, 485078.000, -254478.312
143, 1, 123194.703, 484761.406, -263613.656
144, 1, 134435.172, 486422.188, -272265.750
145, 1, 144257.438, 488267.594, -280638.125
146, 1, 153336.172, 489156.531, -288872.562
147, 1, 162019.453, 488583.562, -297043.562
148, 1, 170465.422, 486445.594, -305170.969
149, 1, 178702.109, 482987.438, -313206.344
150, 1, 186619.219, 478948.219, -320982.125
151, 1, 193903.391, 475918.062, -328115.219
152, 1, 200037.391, 476375.812, -333993.531
153, 1, 205563.047, 477852.906, -339238.438
154, 1, 210835.641, 478763.719, -344248.344
155, 1, 216038.000, 478370.469, -349206.750
156, 1, 221265.406, 476435.844, -354163.781
157, 1, 226574.562, 473094.688, -359055.156
158, 1, 232009.031, 468948.406, -363649.312
159, 1, 237615.406, 465430.281, -367396.562
160, 1, 243458.312, 465506.438, -369149.375
161, 1, 249621.984, 473766.250, -367123.688
162, 1, 256036.844, 485702.750, -363092.406
163, 1, 262653.594, 498430.000, -358198.406
164, 1, 269437.688, 510599.469, -352987.062
165, 1, 276348.219, 521710.688, -347673.312
166, 1, 283311.562, 531764.125, -342271.969
167, 1, 290177.125, 541196.312, -336613.938
168, 1, 296644.469, 551020.750, -330275.750
169, 1, 302251.844, 562813.000, -322581.125
170, 1, 307433.750, 575177.875, -314173.062
171, 1, 312460.469, 587241.438, -305459.188
172, 1, 317436.094, 598605.812, -296627.906
173, 1, 322343.938, 609091.875, -287753.000
174, 1, 327032.125, 618563.250, -278852.094
175, 1, 331119.906, 626776.500, -269913.062
176, 1, 333808.875, 633204.500, -260903.500
177, 1, 333860.375, 637001.562, -251775.984
178, 1, 332541.531, 639163.125, -242530.797
179, 1, 330684.938, 640353.812, -233165.453
180, 1, 328714.125, 640929.250, -223674.703
181, 1, 326839.000, 641089.250, -214048.688
182, 1, 325166.312, 640976.688, -204262.344
183, 1, 323750.031, 640749.188, -194250.703
184, 1, 322609.031, 640659.875, -183857.828
185, 1, 321726.000, 641172.938, -172748.594
186, 1, 321052.906, 642985.188, -160392.172
187, 1, 320732.188, 645476.812, -147307.484
188, 1, 320881.344, 648272.875, -133817.453
189, 1, 321604.688, 651249.062, -120049.867
190, 1, 323027.250, 654463.375, -105999.125
191, 1, 325340.344, 658164.625, -91530.4922
192, 1, 328880.719, 662900.625, -76314.8828
193, 1, 334265.312, 669743.812, -59685.1562
194, 1, 342401.781, 680306.562, -40626.2070
