x, y, z, k, l
0, 0, -302819.094, 79876.8047, 96316.8672
0.99998, 0, -293380.312, 84367.1953, 100745.891
1.99997, 0, -283313.250, 89438.3984, 105495.984
3.00003, 0, -273129.219, 95034.5312, 110723.086
4.00002, 0, -263037.562, 101106.672, 116467.047
5, 0, -253136.578, 107599.883, 122711.539
5.99998, 0, -243435.438, 114443.086, 129374.203
6.99997, 0, -233769.812, 121527.602, 136227.984
8.00003, 0, -223490.391, 128643.227, 142639.859
9.00002, 0, -210318.828, 135246.812, 146615.203
10, 0, -196744.109, 141754.641, 150144.375
11, 0, -183633.906, 148253.031, 153863.625
12, 0, -171373.359, 154729.266, 158006.750
13, 0, -160168.578, 161135.922, 162659.859
14, 0, -150120.156, 167413.328, 167824.844
15, 0, -141188.062, 173501.422, 173397.188
16, 0, -133012.219, 179353.609, 179035.672
17, 0, -124323.383, 184969.688, 183729.281
18, 0, -110792.453, 190506.766, 184216.125
19, 0, -97067.0312, 195670.156, 183825.828
20, 0, -84719.6875, 200334.906, 183633.656
21, 0, -74368.9062, 204451.250, 184022.891
22, 0, -66207.8828, 208049.578, 185084.797
23, 0, -60045.8711, 211318.312, 186677.031
24, 0, -54978.3516, 214835.469, 188256.750
25, 0, -48189.5195, 220288.859, 188231.312
26, 0, -30520.4570, 233089.688, 181537.469
27, 0, -11344.5361, 247753.141, 173236.453
28, 0, 6287.73486, 262508.781, 164942.547
29, 0, 21230.0352, 276709.156, 157240.953
30, 0, 33075.1523, 290158.688, 150329.500
31, 0, 41898.2188, 302993.062, 144169.906
32, 0, 48451.5508, 315865.938, 138406.766
33, 0, 55007.1602, 330633.750, 131972.422
34, 0, 68074.1250, 352531.375, 121800.273
35, 0, 108303.070, 398091.125, 98129.7031
36, 0, 154965.766, 450765.750, 70811.9609
37, 0, 201452.766, 505278.031, 43033.6484
38, 0, 245344.594, 559684.188, 16029.6729
39, 0, 285626.750, 613148.438, -9579.12402
40, 0, 321674.219, 665128.875, -33260.3516
41, 0, 352602.344, 714847.250, -54143.0078
42, 0, 376190.562, 760386.875, -70138.7656
43, 0, 385445.469, 795782.875, -74970.0625
44, 0, 387457.688, 827035.438, -74682.7031
45, 0, 384538.406, 856076.375, -71140.1094
46, 0, 377603.562, 883632.562, -65004.7461
47, 0, 367140.219, 910027.625, -56629.6406
48, 0, 353601.281, 935471.938, -46509.1797
49, 0, 337759.312, 960242.000, -35860.7305
50, 0, 321486.094, 984969.188, -28122.4258
51, 0, 310424.750, 1011548.88, -34225.8359
52, 0, 299159.031, 1038181.75, -43293.0273
53, 0, 286024.094, 1064323.50, -51866.8359
54, 0, 270464.812, 1089802.75, -58688.9844
55, 0, 252335.922, 1114595.00, -63318.2461
56, 0, 231746.016, 1138793.88, -65823.6797
57, 0, 209172.812, 1162709.00, -67015.6562
58, 0, 185969.672, 1187196.25, -69455.1094
59, 0, 166004.078, 1214710.88, -80720.3750
60, 0, 161632.203, 1253149.38, -125322.469
61, 0, 160281.375, 1294314.88, -178075.328
62, 0, 157863.656, 1335446.50, -230705.219
63, 0, 152843.047, 1375393.88, -280024.406
64, 0, 144653.781, 1413585.25, -324788.844
65, 0, 133295.594, 1449727.38, -364918.125
66, 0, 119457.570, 1483771.25, -401816.594
67, 0, 105405.250, 1516126.38, -440373.562
68, 0, 98436.6875, 1548583.50, -496702.500
69, 0, 91328.8516, 1579007.75, -554413.875
