x, y, z, k, l
0, 0, 99203.8281, 61384.8086, -57891.1289
0.99998, 0, 127848.797, 72237.3516, -48422.1914
1.99997, 0, 159116.578, 84849.3750, -39167.6328
3.00003, 0, 191680.469, 99035.0938, -30473.1504
4.00002, 0, 224991.156, 114668.961, -22409.3203
5, 0, 258756.734, 131611.203, -14954.8408
5.99998, 0, 292827.250, 149646.078, -8047.76270
6.99997, 0, 327260.969, 168354.469, -1591.40723
8.00003, 0, 362665.812, 186734.953, 4576.04199
9.00002, 0, 401489.750, 201834.781, 10808.7256
10, 0, 440779.125, 216409.797, 16947.7344
11, 0, 479413.094, 231265.984, 23022.0742
12, 0, 516815.625, 246621.859, 29118.5625
13, 0, 552613.312, 262475.156, 35338.2930
14, 0, 586556.000, 278703.500, 41763.4883
15, 0, 618565.500, 295057.125, 48400.6211
16, 0, 648964.062, 311033.875, 55042.0703
17, 0, 679216.688, 325440.812, 60853.5039
18, 0, 714639.500, 334764.938, 62891.9805
19, 0, 749238.750, 342345.969, 64353.6797
20, 0, 780902.625, 349217.906, 66297.1719
21, 0, 808743.062, 355753.625, 69073.6797
22, 0, 832463.812, 362141.844, 72631.6797
23, 0, 852397.938, 368607.406, 76402.0938
24, 0, 870161.625, 375670.469, 78690.0547
25, 0, 890895.625, 384799.125, 74680.6562
26, 0, 931499.500, 400704.031, 49150.9531
27, 0, 974439.750, 418565.281, 17254.3340
28, 0, 1013954.25, 436817.969, -16198.3203
29, 0, 1047865.69, 454896.406, -49492.2109
30, 0, 1075444.00, 472663.469, -82110.7656
31, 0, 1096979.12, 490337.969, -114347.914
32, 0, 1114255.50, 508733.969, -147711.297
33, 0, 1132416.25, 530061.562, -186528.062
34, 0, 1165929.50, 560449.938, -243085.875
35, 0, 1260338.50, 619133.062, -356353.812
36, 0, 1370238.62, 686943.750, -487180.125
37, 0, 1481262.25, 757804.312, -623012.812
38, 0, 1588249.12, 829530.688, -759185.312
39, 0, 1689102.00, 901279.250, -893735.562
40, 0, 1782500.62, 972669.438, -1025660.94
41, 0, 1866332.00, 1043339.75, -1154119.00
42, 0, 1934887.62, 1112419.62, -1277659.62
43, 0, 1969716.00, 1177030.38, -1392266.62
44, 0, 1989954.50, 1240303.88, -1501691.62
45, 0, 2001919.62, 1303306.88, -1607052.75
46, 0, 2008045.50, 1366430.25, -1708678.38
47, 0, 2009263.38, 1429691.25, -1806613.00
48, 0, 2005596.25, 1492643.38, -1900781.25
49, 0, 1995908.88, 1553851.50, -1991044.88
50, 0, 1976348.50, 1609157.25, -2077210.38
51, 0, 1934295.12, 1645324.62, -2158986.00
52, 0, 1882461.38, 1675645.88, -2236197.75
53, 0, 1824906.25, 1704375.12, -2308633.50
54, 0, 1763108.12, 1733054.00, -2376088.75
55, 0, 1697594.88, 1762192.12, -2438374.00
56, 0, 1628376.62, 1791677.50, -2495303.75
57, 0, 1554880.38, 1820606.38, -2546660.75
58, 0, 1475318.75, 1846349.75, -2592108.25
59, 0, 1384529.50, 1861448.38, -2630927.50
60, 0, 1266008.62, 1842197.25, -2661106.25
61, 0, 1136587.50, 1812702.62, -2684260.75
62, 0, 1001803.94, 1780835.75, -2700763.00
63, 0, 863857.875, 1749601.00, -2710618.25
64, 0, 723791.375, 1720174.62, -2713686.50
65, 0, 582209.312, 1692712.88, -2709717.50
66, 0, 439606.156, 1666203.25, -2698267.00
67, 0, 296696.312, 1637037.38, -2678354.25
68, 0, 155288.828, 1593354.50, -2647178.25
69, 0, 13655.2578, 1547118.50, -2607241.00
70, 0, -128797.898, 1502097.88, -2559327.75
