0 139.005
500000 140.956
1000000 142.639
1500000 143.741
2000000 143.856
2500000 142.537
3000000 139.958
3500000 136.405
4000000 132.11
4500000 127.259
5000000 122.069
5500000 116.753
6000000 111.457
6500000 106.077
7000000 100.452
7500000 94.727
8000000 89.303
8500000 84.614
9000000 80.984
9500000 78.434
10000000 76.754
10500000 75.854
11000000 75.622
11500000 75.936
12000000 76.567
12500000 77.348
13000000 78.166
13500000 79.008
14000000 79.868
14500000 80.742
15000000 81.625
15500000 82.512
16000000 83.398
16500000 84.28
17000000 85.151
17500000 86.002
18000000 86.804
18500000 87.521
19000000 88.116
19500000 88.543
20000000 88.771
20500000 88.753
21000000 88.474
21500000 87.874
22000000 86.916
22500000 85.546
23000000 83.806
23500000 81.749
24000000 79.418
24500000 76.86
25000000 74.102
25500000 71.187
26000000 68.143
26500000 65.004
27000000 61.793
27500000 58.525
28000000 55.205
28500000 51.838
29000000 48.427
29500000 44.977
30000000 41.49
30500000 37.968
31000000 34.417
31500000 30.85
32000000 27.281
32500000 23.724
33000000 20.192
33500000 16.702
34000000 13.264
34500000 9.885
35000000 6.552
35500000 3.259
36000000 0.0
