x, y, z
0, 0, 1343.58533
0.99998, 0, 1343.47668
1.99997, 0, 1343.36841
3.00003, 0, 1343.25964
4.00002, 0, 1343.14880
5, 0, 1343.03467
5.99998, 0, 1342.91528
6.99997, 0, 1342.78760
8.00003, 0, 1342.64758
9.00002, 0, 1342.49292
10, 0, 1342.32568
11, 0, 1342.14917
12, 0, 1341.96606
13, 0, 1341.77759
14, 0, 1341.58472
15, 0, 1341.39050
16, 0, 1341.19824
17, 0, 1341.00989
18, 0, 1340.82629
19, 0, 1340.64795
20, 0, 1340.47583
21, 0, 1340.31067
22, 0, 1340.15210
23, 0, 1339.99890
24, 0, 1339.84998
25, 0, 1339.70557
26, 0, 1339.56616
27, 0, 1339.43103
28, 0, 1339.29907
29, 0, 1339.16907
30, 0, 1339.04150
31, 0, 1338.91699
32, 0, 1338.79553
33, 0, 1338.67603
34, 0, 1338.55701
35, 0, 1338.43884
36, 0, 1338.32117
37, 0, 1338.20288
38, 0, 1338.08191
39, 0, 1337.95569
40, 0, 1337.82275
41, 0, 1337.68115
42, 0, 1337.52759
43, 0, 1337.35840
44, 0, 1337.17078
45, 0, 1336.96570
46, 0, 1336.74561
47, 0, 1336.51233
48, 0, 1336.26648
49, 0, 1336.00757
50, 0, 1335.73425
51, 0, 1335.44397
52, 0, 1335.13367
53, 0, 1334.79883
54, 0, 1334.43384
55, 0, 1334.03198
56, 0, 1333.58472
57, 0, 1333.08203
58, 0, 1332.51367
59, 0, 1331.87085
60, 0, 1331.15015
61, 0, 1330.35022
62, 0, 1329.46960
63, 0, 1328.50635
64, 0, 1327.45679
65, 0, 1326.31567
66, 0, 1325.07678
67, 0, 1323.73401
68, 0, 1322.28296
69, 0, 1320.72449
70, 0, 1319.06897
71, 0, 1317.33167
72, 0, 1315.52881
73, 0, 1313.67493
74, 0, 1311.78027
75, 0, 1309.84875
76, 0, 1307.88000
77, 0, 1305.87183
78, 0, 1303.82080
79, 0, 1301.72571
80, 0, 1299.58875
81, 0, 1297.41309
82, 0, 1295.20129
83, 0, 1292.95422
84, 0, 1290.67236
85, 0, 1288.35706
86, 0, 1286.00818
87, 0, 1283.62366
88, 0, 1281.20117
89, 0, 1278.74780
90, 0, 1276.28955
91, 0, 1273.86292
92, 0, 1271.50610
93, 0, 1269.25684
94, 0, 1267.15125
95, 0, 1265.22424
96, 0, 1263.51636
97, 0, 1262.07751
98, 0, 1260.95911
99, 0, 1260.18604
100, 0, 1259.71973
101, 0, 1259.49792
102, 0, 1259.46436
103, 0, 1259.57983
104, 0, 1259.82056
105, 0, 1260.17224
106, 0, 1260.63159
107, 0, 1261.20630
108, 0, 1261.91125
109, 0, 1262.76062
110, 0, 1263.75793
111, 0, 1264.90576
112, 0, 1266.21301
113, 0, 1267.69458
114, 0, 1269.36243
115, 0, 1271.21277
116, 0, 1273.24109
117, 0, 1275.45166
118, 0, 1277.85974
119, 0, 1280.48462
120, 0, 1283.33862
121, 0, 1286.43738
122, 0, 1289.80164
123, 0, 1293.44043
124, 0, 1297.30774
125, 0, 1301.24780
126, 0, 1305.05005
127, 0, 1308.49939
128, 0, 1311.41199
129, 0, 1313.67468
130, 0, 1315.28357
131, 0, 1316.29480
132, 0, 1316.78357
133, 0, 1316.83069
134, 0, 1316.53784
135, 0, 1316.05908
136, 0, 1315.56885
137, 0, 1315.23682
138, 0, 1315.21106
139, 0, 1315.59265
140, 0, 1316.40417
141, 0, 1317.63647
142, 0, 1319.28027
143, 0, 1321.32996
144, 0, 1323.75464
145, 0, 1326.45679
146, 0, 1329.31616
147, 0, 1332.22339
148, 0, 1335.09180
149, 0, 1337.85449
150, 0, 1340.45398
151, 0, 1342.84717
152, 0, 1345.00806
153, 0, 1346.92468
154, 0, 1348.59131
155, 0, 1349.99951
156, 0, 1351.14526
157, 0, 1352.03357
158, 0, 1352.67871
159, 0, 1353.09863
160, 0, 1353.30530
161, 0, 1353.31433
162, 0, 1353.14966
163, 0, 1352.84326
164, 0, 1352.42737
165, 0, 1351.92578
166, 0, 1351.35999
167, 0, 1350.75366
168, 0, 1350.13171
169, 0, 1349.51343
170, 0, 1348.90479
