x, y, z
0, 170, 1366.94750977
10, 170, 1364.17248535
20, 170, 1379.75
30, 170, 1386.20751953
40, 170, 1373.21252441
50, 170, 1359.89501953
60, 170, 1358.68249512
70, 170, 1359.44750977
80, 170, 1360.20495605
90, 170, 1363.72497559
100, 170, 1388.76501465
110, 170, 1404.12255859
120, 170, 1412.17004395
130, 170, 1386.35253906
140, 170, 1341.64746094
150, 170, 1312.29003906
160, 170, 1293.96496582
170, 170, 1255.55249023
180, 170, 1218.94750977
190, 170, 1260.11499023
200, 170, 1291.16003418
0, 160, 1360.32751465
10, 160, 1360.98254395
20, 160, 1380.52001953
30, 160, 1377.92504883
40, 160, 1371.55249023
50, 160, 1372.21496582
60, 160, 1375.05004883
70, 160, 1383.35998535
80, 160, 1390.68505859
90, 160, 1402.20996094
100, 160, 1415.4699707
110, 160, 1406.23999023
120, 160, 1390.52001953
130, 160, 1349.89245605
140, 160, 1315.66003418
150, 160, 1306.4050293
160, 160, 1299.49755859
170, 160, 1277.42504883
180, 160, 1265.20996094
190, 160, 1267.4074707
200, 160, 1278.56994629
0, 150, 1348.29504395
10, 150, 1365.23999023
20, 150, 1390.4074707
30, 150, 1377.50500488
40, 150, 1370.10253906
50, 150, 1373.4074707
60, 150, 1378.1574707
70, 150, 1382.14001465
80, 150, 1385.51745605
90, 150, 1386.42749023
100, 150, 1386.13000488
110, 150, 1362.98754883
120, 150, 1337.82250977
130, 150, 1306.19494629
140, 150, 1282.12744141
150, 150, 1279.93505859
160, 150, 1282.38745117
170, 150, 1297.87744141
180, 150, 1290.72509766
190, 150, 1266.68994141
200, 150, 1265.61755371
0, 140, 1343.99499512
10, 140, 1369.88745117
20, 140, 1387.76745605
30, 140, 1387.85754395
40, 140, 1378.12744141
50, 140, 1367.97497559
60, 140, 1372.2199707
70, 140, 1359.65246582
80, 140, 1352.20751953
90, 140, 1354.02746582
100, 140, 1368.04748535
110, 140, 1357.30249023
120, 140, 1326.80004883
130, 140, 1306.57751465
140, 140, 1302.22753906
150, 140, 1288.3125
160, 140, 1295.85754395
170, 140, 1315.46252441
180, 140, 1288.89001465
190, 140, 1246.29748535
200, 140, 1245.3425293
0, 130, 1339.96252441
10, 130, 1351.52001953
20, 130, 1377.51000977
30, 130, 1378.94995117
40, 130, 1378.01245117
50, 130, 1359.46496582
60, 130, 1349.74755859
70, 130, 1335.78747559
80, 130, 1335.07250977
90, 130, 1350.61499023
100, 130, 1371.88244629
110, 130, 1373.41003418
120, 130, 1361.80249023
130, 130, 1337.24255371
140, 130, 1316.52746582
150, 130, 1315.7175293
160, 130, 1324.91748047
170, 130, 1343.34753418
180, 130, 1323.27001953
190, 130, 1270.97998047
200, 130, 1256.40246582
0, 120, 1386.07495117
10, 120, 1364.46496582
20, 120, 1358.95495605
30, 120, 1361.13500977
40, 120, 1368.91003418
50, 120, 1365.45751953
60, 120, 1341.34997559
70, 120, 1333.68249512
80, 120, 1331.75244141
90, 120, 1340.35498047
100, 120, 1376.23498535
110, 120, 1396.73754883
120, 120, 1381.09753418
130, 120, 1337.42504883
140, 120, 1317.16503906
150, 120, 1344.33251953
160, 120, 1349.11254883
170, 120, 1334.25744629
180, 120, 1317.90002441
190, 120, 1304.92749023
200, 120, 1278.04248047
0, 110, 1342.50244141
10, 110, 1333.80749512
20, 110, 1335.55505371
30, 110, 1354.68505859
40, 110, 1369.79504395
50, 110, 1367.7800293
60, 110, 1353.69250488
70, 110, 1341.11999512
80, 110, 1343.57250977
90, 110, 1333.75500488
100, 110, 1351.11499023
110, 110, 1371.3125
120, 110, 1366.1574707
130, 110, 1339.55505371
140, 110, 1321.68249512
150, 110, 1329.22253418
160, 110, 1339.20996094
170, 110, 1340.78503418
180, 110, 1351.28503418
190, 110, 1339.09753418
200, 110, 1303.1550293
0, 100, 1332.20251465
10, 100, 1332.94494629
20, 100, 1327.56994629
30, 100, 1336.24255371
40, 100, 1355.57751465
50, 100, 1367.83251953
60, 100, 1360.74255371
70, 100, 1344.60754395
80, 100, 1350.29003906
90, 100, 1359.72253418
100, 100, 1371.27001953
110, 100, 1377.98999023
120, 100, 1357.50244141
130, 100, 1334.07495117
140, 100, 1325.85253906
150, 100, 1313.04748535
160, 100, 1337.29003906
170, 100, 1364.56994629
180, 100, 1382.77001953
190, 100, 1361.70751953
200, 100, 1319.81005859
0, 90, 1333.53503418
10, 90, 1328.69494629
20, 90, 1330.38745117
30, 90, 1323.31994629
40, 90, 1329.02746582
50, 90, 1359.07995605
60, 90, 1361.13745117
70, 90, 1353.09753418
80, 90, 1356.75500488
90, 90, 1352.16748047
100, 90, 1356.39245605
110, 90, 1370.49255371
120, 90, 1364.79003906
130, 90, 1343
140, 90, 1321.78503418
150, 90, 1307.88000488
160, 90, 1339.5949707
170, 90, 1381.5324707
180, 90, 1382.42248535
190, 90, 1360.32995605
200, 90, 1310.54504395
0, 80, 1333.78747559
10, 80, 1328.94250488
20, 80, 1329.15246582
30, 80, 1303.31005859
40, 80, 1302.10998535
50, 80, 1331.63745117
60, 80, 1330.71252441
70, 80, 1337.69750977
80, 80, 1341.20996094
90, 80, 1336.72497559
100, 80, 1346.6550293
110, 80, 1353.57995605
120, 80, 1356.27502441
130, 80, 1352.45251465
140, 80, 1339.43005371
150, 80, 1350.74255371
160, 80, 1356.36499023
170, 80, 1380.34753418
180, 80, 1376.27746582
190, 80, 1336.4050293
200, 80, 1281.41748047
0, 70, 1333.23498535
10, 70, 1327.0949707
20, 70, 1318.99755859
30, 70, 1305.6875
40, 70, 1303.4375
50, 70, 1314.31005859
60, 70, 1316.72998047
70, 70, 1337.38745117
80, 70, 1339.80505371
90, 70, 1327.87255859
100, 70, 1329.26245117
110, 70, 1330.47753906
120, 70, 1338.66748047
130, 70, 1347.03747559
140, 70, 1357.11499023
150, 70, 1350.87744141
160, 70, 1341.8449707
170, 70, 1360.14990234
180, 70, 1361.69995117
190, 70, 1330.5300293
200, 70, 1269.87255859
0, 60, 1332.75744629
10, 60, 1326.16503906
20, 60, 1317.98498535
30, 60, 1306.96252441
40, 60, 1305.7824707
50, 60, 1317.95495605
60, 60, 1340.92504883
70, 60, 1358.86499023
80, 60, 1356.85498047
90, 60, 1318.37255859
100, 60, 1312.52246094
110, 60, 1327.81994629
120, 60, 1333.48498535
130, 60, 1327.60498047
140, 60, 1337.125
150, 60, 1343.125
160, 60, 1350.69995117
170, 60, 1354.10998535
180, 60, 1352.63745117
190, 60, 1334.5625
200, 60, 1275.77001953
0, 50, 1333.26000977
10, 50, 1327.55004883
20, 50, 1321.67248535
30, 50, 1316.99255371
40, 50, 1319.35253906
50, 50, 1329.70996094
60, 50, 1342.67004395
70, 50, 1355.70495605
80, 50, 1347.4074707
90, 50, 1315.07995605
100, 50, 1322.54504395
110, 50, 1327.97497559
120, 50, 1318.5300293
130, 50, 1324.29003906
140, 50, 1334.5324707
150, 50, 1341.30749512
160, 50, 1338.34997559
170, 50, 1345.95751953
180, 50, 1353.85253906
190, 50, 1332.79504395
200, 50, 1302.07250977
0, 40, 1334.70495605
10, 40, 1330.23999023
20, 40, 1326.5925293
30, 40, 1325.01245117
40, 40, 1327.30249023
50, 40, 1333.22253418
60, 40, 1340.24499512
70, 40, 1344.41503906
80, 40, 1338.51745605
90, 40, 1327.83496094
100, 40, 1327.6574707
110, 40, 1326.77746582
120, 40, 1322.0300293
130, 40, 1325.48999023
140, 40, 1322.54748535
150, 40, 1320.26745605
160, 40, 1327.78747559
170, 40, 1338.50244141
180, 40, 1345.27502441
190, 40, 1337.58752441
200, 40, 1334.91503906
0, 30, 1336.70495605
10, 30, 1333.21252441
20, 30, 1330.8125
30, 30, 1330.14245605
40, 30, 1331.64001465
50, 30, 1334.82495117
60, 30, 1338.11999512
70, 30, 1339.19750977
80, 30, 1336.23498535
90, 30, 1331.60998535
100, 30, 1328.93994141
110, 30, 1326.91247559
120, 30, 1324.98254395
130, 30, 1324.23999023
140, 30, 1322.58752441
150, 30, 1321.80749512
160, 30, 1326
170, 30, 1332.74755859
180, 30, 1336.7175293
190, 30, 1326.1550293
200, 30, 1338.59997559
0, 20, 1338.89001465
10, 20, 1336.02246094
20, 20, 1334.17504883
30, 20, 1333.62255859
40, 20, 1334.37255859
50, 20, 1335.92004395
60, 20, 1337.26745605
70, 20, 1337.2800293
80, 20, 1335.44750977
90, 20, 1332.5949707
100, 20, 1329.92004395
110, 20, 1327.63244629
120, 20, 1325.78503418
130, 20, 1324.50744629
140, 20, 1323.69494629
150, 20, 1324.0625
160, 20, 1326.55249023
170, 20, 1329.91748047
180, 20, 1330.38000488
190, 20, 1328.23254395
200, 20, 1339.07751465
0, 10, 1340.98254395
10, 10, 1338.49499512
20, 10, 1336.86499023
30, 10, 1336.1875
40, 10, 1336.35754395
50, 10, 1336.93505859
60, 10, 1337.28747559
70, 10, 1336.80249023
80, 10, 1335.26000977
90, 10, 1332.98754883
100, 10, 1330.52246094
110, 10, 1328.23754883
120, 10, 1326.36499023
130, 10, 1325.11499023
140, 10, 1324.70495605
150, 10, 1325.44995117
160, 10, 1327.42248535
170, 10, 1329.90002441
180, 10, 1331.8125
190, 10, 1334.11254883
200, 10, 1337.73254395
0, 0, 1342.75744629
10, 0, 1340.49755859
20, 0, 1338.93505859
30, 0, 1338.10754395
40, 0, 1337.86755371
50, 0, 1337.87255859
60, 0, 1337.67004395
70, 0, 1336.89245605
80, 0, 1335.39001465
90, 0, 1333.32250977
100, 0, 1331.01501465
110, 0, 1328.79504395
120, 0, 1326.96252441
130, 0, 1325.79748535
140, 0, 1325.56750488
150, 0, 1326.4675293
160, 0, 1328.44494629
170, 0, 1331.08752441
180, 0, 1333.89245605
190, 0, 1336.73754883
200, 0, 1339.0300293
0, 165, 1366.02246094
10, 165, 1364.04504395
20, 165, 1380.85253906
30, 165, 1384.94995117
40, 165, 1373.08496094
50, 165, 1364.47753906
60, 165, 1366.83251953
70, 165, 1375.5625
80, 165, 1379.94250488
90, 165, 1386.125
100, 165, 1408.3449707
110, 165, 1414.55505371
120, 165, 1410.75500488
130, 165, 1370.34753418
140, 165, 1329.12744141
150, 165, 1315.06005859
160, 165, 1304.31994629
170, 165, 1270.2199707
180, 165, 1231.95251465
190, 165, 1258.9675293
200, 165, 1289.0949707
0, 155, 1352.98498535
10, 155, 1360.89001465
20, 155, 1383.55505371
30, 155, 1375.375
40, 155, 1371.01745605
50, 155, 1376.0925293
60, 155, 1378.72753906
70, 155, 1384.04248047
80, 155, 1392.11254883
90, 155, 1404.48754883
100, 155, 1404.78747559
110, 155, 1383.77746582
120, 155, 1361.93994141
130, 155, 1330.22753906
140, 155, 1297.24499512
150, 155, 1290.24755859
160, 155, 1287.33496094
170, 155, 1287.1875
180, 155, 1288.54748535
190, 155, 1271.14501953
200, 155, 1271.32495117
0, 145, 1347.56750488
10, 145, 1369.04504395
20, 145, 1393.63745117
30, 145, 1383.68249512
40, 145, 1372.88244629
50, 145, 1369.38244629
60, 145, 1376.59753418
70, 145, 1374.38000488
80, 145, 1370.61755371
90, 145, 1365.625
100, 145, 1374.11254883
110, 145, 1357.13000488
120, 145, 1325.6875
130, 145, 1293.27246094
140, 145, 1286.60498047
150, 145, 1281.04260254
160, 145, 1288.42248535
170, 145, 1304.88745117
180, 145, 1288.07995605
190, 145, 1256.88500977
200, 145, 1255.4675293
0, 135, 1336.0925293
10, 135, 1360.32995605
20, 135, 1382.39501953
30, 135, 1385.79248047
40, 135, 1380.70495605
50, 135, 1363.95495605
60, 135, 1361.42749023
70, 135, 1346.12255859
80, 135, 1340.49499512
90, 135, 1348.76501465
100, 135, 1366.69250488
110, 135, 1359.79748535
120, 135, 1341.37744141
130, 135, 1329.80004883
140, 135, 1313.74755859
150, 135, 1300.47998047
160, 135, 1307.41003418
170, 135, 1333.58996582
180, 135, 1304.18505859
190, 135, 1251.87255859
200, 135, 1247.75
0, 125, 1365.03503418
10, 125, 1359.19494629
20, 125, 1368.51245117
30, 125, 1369.43994141
40, 125, 1371.58251953
50, 125, 1360.4074707
60, 125, 1342.45996094
70, 125, 1330.79248047
80, 125, 1331.17749023
90, 125, 1350.59753418
100, 125, 1378.05004883
110, 125, 1391.52001953
120, 125, 1375.90246582
130, 125, 1333.92504883
140, 125, 1315.48498535
150, 125, 1331.36499023
160, 125, 1341.24755859
170, 125, 1337.27746582
180, 125, 1321.17749023
190, 125, 1287.55004883
200, 125, 1266.7199707
0, 115, 1372.98754883
10, 115, 1348.94750977
20, 115, 1347.4699707
30, 115, 1357.58996582
40, 115, 1370.11755371
50, 115, 1367.9074707
60, 115, 1346.71252441
70, 115, 1339.38000488
80, 115, 1338.68249512
90, 115, 1330.43249512
100, 115, 1361.25244141
110, 115, 1385.75244141
120, 115, 1377.10998535
130, 115, 1341.5
140, 115, 1318.64245605
150, 115, 1341.38500977
160, 115, 1342.45495605
170, 115, 1339.39001465
180, 115, 1331.78503418
190, 115, 1324.03747559
200, 115, 1289.16503906
0, 105, 1330.41503906
10, 105, 1334.33496094
20, 105, 1330.54003906
30, 105, 1345.52502441
40, 105, 1363.25744629
50, 105, 1367.36999512
60, 105, 1357.94494629
70, 105, 1340.31005859
80, 105, 1344.80249023
90, 105, 1346.92248535
100, 105, 1359.89001465
110, 105, 1371.19750977
120, 105, 1357.91503906
130, 105, 1336.57995605
140, 105, 1327.3449707
150, 105, 1322.13500977
160, 105, 1342.85498047
170, 105, 1347.51000977
180, 105, 1369.49255371
190, 105, 1351.85253906
200, 105, 1315.64501953
0, 95, 1333.125
10, 95, 1329.00500488
20, 95, 1326.64746094
30, 95, 1330.88745117
40, 95, 1345.25744629
50, 95, 1367.04248047
60, 95, 1363.68005371
70, 95, 1350.95495605
80, 95, 1356.99255371
90, 95, 1360.90246582
100, 95, 1368.48498535
110, 95, 1377.27001953
120, 95, 1360.72753906
130, 95, 1333.78747559
140, 95, 1319.88745117
150, 95, 1302.19250488
160, 95, 1332.62744141
170, 95, 1378.70996094
180, 95, 1387.93505859
190, 95, 1364.64501953
200, 95, 1316.06994629
0, 85, 1333.76501465
10, 85, 1328.99255371
20, 85, 1332.64501953
30, 85, 1310.25744629
40, 85, 1311.39746094
50, 85, 1347.19250488
60, 85, 1349.62744141
70, 85, 1348.29003906
80, 85, 1350.26245117
90, 85, 1342.75500488
100, 85, 1349.2175293
110, 85, 1363.2800293
120, 85, 1365.30749512
130, 85, 1352.31005859
140, 85, 1329.84997559
150, 85, 1329.76245117
160, 85, 1350.66503906
170, 85, 1381.35998535
180, 85, 1378.06994629
190, 85, 1348.7199707
200, 85, 1300.08752441
0, 75, 1333.58496094
10, 75, 1328.16003418
20, 75, 1322.76745605
30, 75, 1305.54248047
40, 75, 1303.15002441
50, 75, 1318.02746582
60, 75, 1313.69494629
70, 75, 1329.72497559
80, 75, 1335.75244141
90, 75, 1333.86755371
100, 75, 1341.47253418
110, 75, 1339.88244629
120, 75, 1343.30505371
130, 75, 1348.90246582
140, 75, 1352.67004395
150, 75, 1359.23498535
160, 75, 1349.96496582
170, 75, 1368.71496582
180, 75, 1368.11999512
190, 75, 1330.00244141
200, 75, 1268.55249023
0, 65, 1332.9050293
10, 65, 1326.33752441
20, 65, 1317.7199707
30, 65, 1305.08996582
40, 65, 1302.93505859
50, 65, 1314.20251465
60, 65, 1332.81005859
70, 65, 1352.93505859
80, 65, 1350.7824707
90, 65, 1322.78503418
100, 65, 1317.01745605
110, 65, 1328.52001953
120, 65, 1339.02746582
130, 65, 1342.00744629
140, 65, 1348.19995117
150, 65, 1342.58251953
160, 65, 1345.83251953
170, 65, 1359.58752441
180, 65, 1359.04248047
190, 65, 1335.97253418
200, 65, 1275.06994629
0, 55, 1332.87255859
10, 55, 1326.60754395
20, 55, 1319.44995117
30, 55, 1311.64501953
40, 55, 1312.80505371
50, 55, 1325.36254883
60, 55, 1342.35998535
70, 55, 1358.77746582
80, 55, 1353.93994141
90, 55, 1313.04748535
100, 55, 1315.73999023
110, 55, 1327.08251953
120, 55, 1324.10754395
130, 55, 1320.51501465
140, 55, 1333.86755371
150, 55, 1344.35498047
160, 55, 1346.1875
170, 55, 1348.125
180, 55, 1350.09997559
190, 55, 1329.62255859
200, 55, 1281.5
0, 45, 1333.88745117
10, 45, 1328.8125
20, 45, 1324.16247559
30, 45, 1321.46252441
40, 45, 1323.97998047
50, 45, 1331.85253906
60, 45, 1341.58752441
70, 45, 1349.54504395
80, 45, 1341.55249023
90, 45, 1322.43505859
100, 45, 1326.63244629
110, 45, 1327.77746582
120, 45, 1318.99255371
130, 45, 1326.09753418
140, 45, 1328.23754883
150, 45, 1329.79748535
160, 45, 1332.33752441
170, 45, 1342.92504883
180, 45, 1351.00500488
190, 45, 1337.28747559
200, 45, 1325.01000977
0, 35, 1335.66003418
10, 35, 1331.72753906
20, 35, 1328.81994629
30, 35, 1327.84997559
40, 35, 1329.76000977
50, 35, 1334.15002441
60, 35, 1339.03747559
70, 35, 1341.20251465
80, 35, 1337.05749512
90, 35, 1330.39501953
100, 35, 1328.29504395
110, 35, 1326.61499023
120, 35, 1324.06494141
130, 35, 1324.60998535
140, 35, 1322.06750488
150, 35, 1319.91247559
160, 35, 1326.0300293
170, 35, 1335.20996094
180, 35, 1341.98254395
190, 35, 1332.68249512
200, 35, 1336.4074707
