x, y, z
0, 0, 1338.35864
0.99998, 0, 1338.37073
1.99997, 0, 1338.37231
3.00003, 0, 1338.36218
4.00002, 0, 1338.34045
5, 0, 1338.31042
5.99998, 0, 1338.27612
6.99997, 0, 1338.24146
8.00003, 0, 1338.20923
9.00002, 0, 1338.18152
10, 0, 1338.16003
11, 0, 1338.14612
12, 0, 1338.14001
13, 0, 1338.14160
14, 0, 1338.15088
15, 0, 1338.16870
16, 0, 1338.19641
17, 0, 1338.23499
18, 0, 1338.28394
19, 0, 1338.34216
20, 0, 1338.40784
21, 0, 1338.47754
22, 0, 1338.54712
23, 0, 1338.61133
24, 0, 1338.66638
25, 0, 1338.71277
26, 0, 1338.75134
27, 0, 1338.78210
28, 0, 1338.80322
29, 0, 1338.81238
30, 0, 1338.80859
31, 0, 1338.79041
32, 0, 1338.75488
33, 0, 1338.69775
34, 0, 1338.61707
35, 0, 1338.51660
36, 0, 1338.40234
37, 0, 1338.27930
38, 0, 1338.15088
39, 0, 1338.01819
40, 0, 1337.88086
41, 0, 1337.73608
42, 0, 1337.57996
43, 0, 1337.40735
44, 0, 1337.21497
45, 0, 1337.00366
46, 0, 1336.77612
47, 0, 1336.53455
48, 0, 1336.28015
49, 0, 1336.01282
50, 0, 1335.73096
51, 0, 1335.43237
52, 0, 1335.11365
53, 0, 1334.77014
54, 0, 1334.39636
55, 0, 1333.98474
56, 0, 1333.52625
57, 0, 1333.01050
58, 0, 1332.42627
59, 0, 1331.76489
60, 0, 1331.02295
61, 0, 1330.19946
62, 0, 1329.29370
63, 0, 1328.30359
64, 0, 1327.22559
65, 0, 1326.05225
66, 0, 1324.77502
67, 0, 1323.38489
68, 0, 1321.87463
69, 0, 1320.24255
70, 0, 1318.49634
71, 0, 1316.64856
72, 0, 1314.71301
73, 0, 1312.70227
74, 0, 1310.62610
75, 0, 1308.48987
76, 0, 1306.29578
77, 0, 1304.04443
78, 0, 1301.73608
79, 0, 1299.37244
80, 0, 1296.95898
81, 0, 1294.50244
82, 0, 1292.00891
83, 0, 1289.48340
84, 0, 1286.93054
85, 0, 1284.35498
86, 0, 1281.76135
87, 0, 1279.15247
88, 0, 1276.53040
89, 0, 1273.89697
90, 0, 1271.25513
91, 0, 1268.60742
92, 0, 1265.95557
93, 0, 1263.30042
94, 0, 1260.64355
95, 0, 1257.99097
96, 0, 1255.34924
97, 0, 1252.72449
98, 0, 1250.12170
99, 0, 1247.54614
100, 0, 1245.00464
101, 0, 1242.50427
102, 0, 1240.05139
103, 0, 1237.65198
104, 0, 1235.31396
105, 0, 1233.05066
106, 0, 1230.87659
107, 0, 1228.80566
108, 0, 1226.85327
109, 0, 1225.04529
110, 0, 1223.43066
111, 0, 1222.07275
112, 0, 1221.04175
113, 0, 1220.40186
114, 0, 1220.18689
115, 0, 1220.36841
116, 0, 1220.89185
117, 0, 1221.70459
118, 0, 1222.76514
119, 0, 1224.03906
120, 0, 1225.48914
121, 0, 1227.08252
122, 0, 1228.79504
123, 0, 1230.61121
124, 0, 1232.52075
125, 0, 1234.51550
126, 0, 1236.58948
127, 0, 1238.73938
128, 0, 1240.96289
129, 0, 1243.25610
130, 0, 1245.60840
131, 0, 1248.00720
132, 0, 1250.43945
133, 0, 1252.89307
134, 0, 1255.35547
135, 0, 1257.81079
136, 0, 1260.24255
137, 0, 1262.63452
138, 0, 1264.97217
139, 0, 1267.24475
140, 0, 1269.44641
141, 0, 1271.57446
142, 0, 1273.62695
143, 0, 1275.60242
144, 0, 1277.50232
145, 0, 1279.33228
146, 0, 1281.10095
147, 0, 1282.81799
148, 0, 1284.49780
149, 0, 1286.16736
150, 0, 1287.87683
151, 0, 1289.69324
152, 0, 1291.69153
153, 0, 1293.94299
154, 0, 1296.48962
155, 0, 1299.31372
156, 0, 1302.37122
157, 0, 1305.61829
158, 0, 1309.01892
159, 0, 1312.54004
160, 0, 1316.14014
161, 0, 1319.77771
162, 0, 1323.41614
163, 0, 1327.02747
164, 0, 1330.59607
165, 0, 1334.12292
166, 0, 1337.61853
167, 0, 1341.09570
168, 0, 1344.56494
169, 0, 1348.02832
170, 0, 1351.47375
171, 0, 1354.88110
172, 0, 1358.22729
173, 0, 1361.48877
174, 0, 1364.64062
175, 0, 1367.65442
176, 0, 1370.50366
177, 0, 1373.16760
178, 0, 1375.63232
179, 0, 1377.88794
180, 0, 1379.92212
181, 0, 1381.72668
182, 0, 1383.30127
183, 0, 1384.65161
184, 0, 1385.78467
185, 0, 1386.70239
186, 0, 1387.40833
187, 0, 1387.91199
188, 0, 1388.22949
189, 0, 1388.37781
190, 0, 1388.36499
191, 0, 1388.19910
192, 0, 1387.89307
193, 0, 1387.46448
194, 0, 1386.93066
195, 0, 1386.30298
196, 0, 1385.58936
197, 0, 1384.79590
198, 0, 1383.92798
199, 0, 1382.99170
200, 0, 1381.99402
201, 0, 1380.94299
202, 0, 1379.84619
203, 0, 1378.71240
204, 0, 1377.55371
205, 0, 1376.38855
206, 0, 1375.23962
207, 0, 1374.13184
208, 0, 1373.08997
209, 0, 1372.13440
210, 0, 1371.27576
0, 1, 1338.21985
0.99998, 1, 1338.23462
1.99997, 1, 1338.23865
3.00003, 1, 1338.22949
4.00002, 1, 1338.20471
5, 1, 1338.16992
5.99998, 1, 1338.13098
6.99997, 1, 1338.09204
8.00003, 1, 1338.05554
9.00002, 1, 1338.02319
10, 1, 1337.99731
11, 1, 1337.97986
12, 1, 1337.97119
13, 1, 1337.97058
14, 1, 1337.97668
15, 1, 1337.99158
16, 1, 1338.01709
17, 1, 1338.05396
18, 1, 1338.10144
19, 1, 1338.15833
20, 1, 1338.22327
21, 1, 1338.29333
22, 1, 1338.36426
23, 1, 1338.42932
24, 1, 1338.48230
25, 1, 1338.52673
26, 1, 1338.56580
27, 1, 1338.59973
28, 1, 1338.62512
29, 1, 1338.63757
30, 1, 1338.63818
31, 1, 1338.62683
32, 1, 1338.59961
33, 1, 1338.54993
34, 1, 1338.47131
35, 1, 1338.37170
36, 1, 1338.25964
37, 1, 1338.14136
38, 1, 1338.02014
39, 1, 1337.89697
40, 1, 1337.77173
41, 1, 1337.64172
42, 1, 1337.50256
43, 1, 1337.34717
44, 1, 1337.16895
45, 1, 1336.97192
46, 1, 1336.76062
47, 1, 1336.53748
48, 1, 1336.30371
49, 1, 1336.05872
50, 1, 1335.80115
51, 1, 1335.52820
52, 1, 1335.23669
53, 1, 1334.92261
54, 1, 1334.58081
55, 1, 1334.20435
56, 1, 1333.78406
57, 1, 1333.30872
58, 1, 1332.76465
59, 1, 1332.13867
60, 1, 1331.42932
61, 1, 1330.63611
62, 1, 1329.75732
63, 1, 1328.79016
64, 1, 1327.73108
65, 1, 1326.57056
66, 1, 1325.29871
67, 1, 1323.90540
68, 1, 1322.38062
69, 1, 1320.71887
70, 1, 1318.93372
71, 1, 1317.04236
72, 1, 1315.06152
73, 1, 1313.00586
74, 1, 1310.88770
75, 1, 1308.71130
76, 1, 1306.47839
77, 1, 1304.18896
78, 1, 1301.84180
79, 1, 1299.43616
80, 1, 1296.98047
81, 1, 1294.48364
82, 1, 1291.95203
83, 1, 1289.39001
84, 1, 1286.80066
85, 1, 1284.18970
86, 1, 1281.56189
87, 1, 1278.91980
88, 1, 1276.26416
89, 1, 1273.59485
90, 1, 1270.91638
91, 1, 1268.23230
92, 1, 1265.54395
93, 1, 1262.85010
94, 1, 1260.14954
95, 1, 1257.45044
96, 1, 1254.76123
97, 1, 1252.08752
98, 1, 1249.43274
99, 1, 1246.80029
100, 1, 1244.19910
101, 1, 1241.63806
102, 1, 1239.12463
103, 1, 1236.66467
104, 1, 1234.26599
105, 1, 1231.95081
106, 1, 1229.74109
107, 1, 1227.65308
108, 1, 1225.69690
109, 1, 1223.88635
110, 1, 1222.27698
111, 1, 1220.93542
112, 1, 1219.93555
113, 1, 1219.35999
114, 1, 1219.27161
115, 1, 1219.59766
116, 1, 1220.25256
117, 1, 1221.17322
118, 1, 1222.32166
119, 1, 1223.67444
120, 1, 1225.18750
121, 1, 1226.82581
122, 1, 1228.56836
123, 1, 1230.40552
124, 1, 1232.33398
125, 1, 1234.34631
126, 1, 1236.43738
127, 1, 1238.60608
128, 1, 1240.85400
129, 1, 1243.18140
130, 1, 1245.57349
131, 1, 1248.01367
132, 1, 1250.48779
133, 1, 1252.98376
134, 1, 1255.49023
135, 1, 1257.98865
136, 1, 1260.46008
137, 1, 1262.88696
138, 1, 1265.25256
139, 1, 1267.54333
140, 1, 1269.75671
141, 1, 1271.89197
142, 1, 1273.94763
143, 1, 1275.92175
144, 1, 1277.81384
145, 1, 1279.63477
146, 1, 1281.39624
147, 1, 1283.10767
148, 1, 1284.77722
149, 1, 1286.42041
150, 1, 1288.09473
151, 1, 1289.87170
152, 1, 1291.83423
153, 1, 1294.07532
154, 1, 1296.66931
155, 1, 1299.55933
156, 1, 1302.67419
157, 1, 1305.96228
158, 1, 1309.39343
159, 1, 1312.94751
160, 1, 1316.57642
161, 1, 1320.23499
162, 1, 1323.88733
163, 1, 1327.50476
164, 1, 1331.06885
165, 1, 1334.59119
166, 1, 1338.08997
167, 1, 1341.58411
168, 1, 1345.09070
169, 1, 1348.61890
170, 1, 1352.14941
171, 1, 1355.65552
172, 1, 1359.11084
173, 1, 1362.49023
174, 1, 1365.76758
175, 1, 1368.90527
176, 1, 1371.86780
177, 1, 1374.62805
178, 1, 1377.17065
179, 1, 1379.49048
180, 1, 1381.56934
181, 1, 1383.39868
182, 1, 1384.98279
183, 1, 1386.33484
184, 1, 1387.46875
185, 1, 1388.37830
186, 1, 1389.05847
187, 1, 1389.51501
188, 1, 1389.76672
189, 1, 1389.83972
190, 1, 1389.73511
191, 1, 1389.46021
192, 1, 1389.03491
193, 1, 1388.48645
194, 1, 1387.84253
195, 1, 1387.11499
196, 1, 1386.31104
197, 1, 1385.43665
198, 1, 1384.49585
199, 1, 1383.49255
200, 1, 1382.43384
201, 1, 1381.32654
202, 1, 1380.17627
203, 1, 1378.98840
204, 1, 1377.77100
205, 1, 1376.54443
206, 1, 1375.33350
207, 1, 1374.16541
208, 1, 1373.06909
209, 1, 1372.07104
210, 1, 1371.17676
0, 2.00001, 1338.06714
0.99998, 2.00001, 1338.08447
1.99997, 2.00001, 1338.09167
3.00003, 2.00001, 1338.08472
4.00002, 2.00001, 1338.05518
5, 2.00001, 1338.01453
5.99998, 2.00001, 1337.97046
6.99997, 2.00001, 1337.92700
8.00003, 2.00001, 1337.88623
9.00002, 2.00001, 1337.84827
10, 2.00001, 1337.81714
11, 2.00001, 1337.79553
12, 2.00001, 1337.78418
13, 2.00001, 1337.78174
14, 2.00001, 1337.78394
15, 2.00001, 1337.79565
16, 2.00001, 1337.81897
17, 2.00001, 1337.85425
18, 2.00001, 1337.90027
19, 2.00001, 1337.95520
20, 2.00001, 1338.01855
21, 2.00001, 1338.08850
22, 2.00001, 1338.16125
23, 2.00001, 1338.22876
24, 2.00001, 1338.27722
25, 2.00001, 1338.31848
26, 2.00001, 1338.35815
27, 2.00001, 1338.39624
28, 2.00001, 1338.42761
29, 2.00001, 1338.44250
30, 2.00001, 1338.44727
31, 2.00001, 1338.44336
32, 2.00001, 1338.42688
33, 2.00001, 1338.38770
34, 2.00001, 1338.30920
35, 2.00001, 1338.20923
36, 2.00001, 1338.09961
37, 2.00001, 1337.98682
38, 2.00001, 1337.87378
39, 2.00001, 1337.76086
40, 2.00001, 1337.64856
41, 2.00001, 1337.53491
42, 2.00001, 1337.41528
43, 2.00001, 1337.28040
44, 2.00001, 1337.11646
45, 2.00001, 1336.93457
46, 2.00001, 1336.74121
47, 2.00001, 1336.53882
48, 2.00001, 1336.32812
49, 2.00001, 1336.10815
50, 2.00001, 1335.87720
51, 2.00001, 1335.63232
52, 2.00001, 1335.37073
53, 2.00001, 1335.08850
54, 2.00001, 1334.78162
55, 2.00001, 1334.44336
56, 2.00001, 1334.06519
57, 2.00001, 1333.63599
58, 2.00001, 1333.13916
59, 2.00001, 1332.55164
60, 2.00001, 1331.87903
61, 2.00001, 1331.12097
62, 2.00001, 1330.27344
63, 2.00001, 1329.33203
64, 2.00001, 1328.29504
65, 2.00001, 1327.14905
66, 2.00001, 1325.88293
67, 2.00001, 1324.48669
68, 2.00001, 1322.94775
69, 2.00001, 1321.24939
70, 2.00001, 1319.41870
71, 2.00001, 1317.47803
72, 2.00001, 1315.44592
73, 2.00001, 1313.33936
74, 2.00001, 1311.17505
75, 2.00001, 1308.95422
76, 2.00001, 1306.67822
77, 2.00001, 1304.34717
78, 2.00001, 1301.95813
79, 2.00001, 1299.50439
80, 2.00001, 1297.00122
81, 2.00001, 1294.45959
82, 2.00001, 1291.88647
83, 2.00001, 1289.28503
84, 2.00001, 1286.65491
85, 2.00001, 1284.00476
86, 2.00001, 1281.33984
87, 2.00001, 1278.66211
88, 2.00001, 1275.97034
89, 2.00001, 1273.26062
90, 2.00001, 1270.54114
91, 2.00001, 1267.81702
92, 2.00001, 1265.08948
93, 2.00001, 1262.35498
94, 2.00001, 1259.60461
95, 2.00001, 1256.85376
96, 2.00001, 1254.11243
97, 2.00001, 1251.38550
98, 2.00001, 1248.67444
99, 2.00001, 1245.97754
100, 2.00001, 1243.30847
101, 2.00001, 1240.67896
102, 2.00001, 1238.09729
103, 2.00001, 1235.56885
104, 2.00001, 1233.09607
105, 2.00001, 1230.71716
106, 2.00001, 1228.46460
107, 2.00001, 1226.35974
108, 2.00001, 1224.40759
109, 2.00001, 1222.59351
110, 2.00001, 1220.99475
111, 2.00001, 1219.67700
112, 2.00001, 1218.70886
113, 2.00001, 1218.19141
114, 2.00001, 1218.27075
115, 2.00001, 1218.77307
116, 2.00001, 1219.57739
117, 2.00001, 1220.61389
118, 2.00001, 1221.85168
119, 2.00001, 1223.29358
120, 2.00001, 1224.87500
121, 2.00001, 1226.55847
122, 2.00001, 1228.32874
123, 2.00001, 1230.18384
124, 2.00001, 1232.13147
125, 2.00001, 1234.16187
126, 2.00001, 1236.27039
127, 2.00001, 1238.45764
128, 2.00001, 1240.72974
129, 2.00001, 1243.09753
130, 2.00001, 1245.53552
131, 2.00001, 1248.02271
132, 2.00001, 1250.54297
133, 2.00001, 1253.08496
134, 2.00001, 1255.64172
135, 2.00001, 1258.18860
136, 2.00001, 1260.70435
137, 2.00001, 1263.17041
138, 2.00001, 1265.56787
139, 2.00001, 1267.87695
140, 2.00001, 1270.10156
141, 2.00001, 1272.24377
142, 2.00001, 1274.30298
143, 2.00001, 1276.27563
144, 2.00001, 1278.15576
145, 2.00001, 1279.96362
146, 2.00001, 1281.71643
147, 2.00001, 1283.42529
148, 2.00001, 1285.09131
149, 2.00001, 1286.70459
150, 2.00001, 1288.34216
151, 2.00001, 1290.07764
152, 2.00001, 1291.99377
153, 2.00001, 1294.20740
154, 2.00001, 1296.87744
155, 2.00001, 1299.85400
156, 2.00001, 1303.03406
157, 2.00001, 1306.36182
158, 2.00001, 1309.81689
159, 2.00001, 1313.40894
160, 2.00001, 1317.06787
161, 2.00001, 1320.74597
162, 2.00001, 1324.41089
163, 2.00001, 1328.03467
164, 2.00001, 1331.58691
165, 2.00001, 1335.09961
166, 2.00001, 1338.59912
167, 2.00001, 1342.10864
168, 2.00001, 1345.65234
169, 2.00001, 1349.25635
170, 2.00001, 1352.88416
171, 2.00001, 1356.50171
172, 2.00001, 1360.07886
173, 2.00001, 1363.58948
174, 2.00001, 1367.01208
175, 2.00001, 1370.29358
176, 2.00001, 1373.38733
177, 2.00001, 1376.25647
178, 2.00001, 1378.88318
179, 2.00001, 1381.27673
180, 2.00001, 1383.40344
181, 2.00001, 1385.25598
182, 2.00001, 1386.84583
183, 2.00001, 1388.19556
184, 2.00001, 1389.33655
185, 2.00001, 1390.24316
186, 2.00001, 1390.89966
187, 2.00001, 1391.30481
188, 2.00001, 1391.47900
189, 2.00001, 1391.47253
190, 2.00001, 1391.26428
191, 2.00001, 1390.86267
192, 2.00001, 1390.29724
193, 2.00001, 1389.60864
194, 2.00001, 1388.84192
195, 2.00001, 1388.00330
196, 2.00001, 1387.09924
197, 2.00001, 1386.13586
198, 2.00001, 1385.11609
199, 2.00001, 1384.03931
200, 2.00001, 1382.91431
201, 2.00001, 1381.74683
202, 2.00001, 1380.54004
203, 2.00001, 1379.29529
204, 2.00001, 1378.01245
205, 2.00001, 1376.71790
206, 2.00001, 1375.43787
207, 2.00001, 1374.20117
208, 2.00001, 1373.04150
209, 2.00001, 1371.99976
210, 2.00001, 1371.06787
0, 2.99999, 1337.89954
0.99998, 2.99999, 1337.91785
1.99997, 2.99999, 1337.92737
3.00003, 2.99999, 1337.92444
4.00002, 2.99999, 1337.88782
5, 2.99999, 1337.84155
5.99998, 2.99999, 1337.79297
6.99997, 2.99999, 1337.74548
8.00003, 2.99999, 1337.70044
9.00002, 2.99999, 1337.65601
10, 2.99999, 1337.61853
11, 2.99999, 1337.59143
12, 2.99999, 1337.57654
13, 2.99999, 1337.57300
14, 2.99999, 1337.57043
15, 2.99999, 1337.57959
16, 2.99999, 1337.60193
17, 2.99999, 1337.63623
18, 2.99999, 1337.68066
19, 2.99999, 1337.73242
20, 2.99999, 1337.79224
21, 2.99999, 1337.85950
22, 2.99999, 1337.93225
23, 2.99999, 1338.00330
24, 2.99999, 1338.04431
25, 2.99999, 1338.08240
26, 2.99999, 1338.12329
27, 2.99999, 1338.16614
28, 2.99999, 1338.20569
29, 2.99999, 1338.22131
30, 2.99999, 1338.22986
31, 2.99999, 1338.23328
32, 2.99999, 1338.22778
33, 2.99999, 1338.20325
34, 2.99999, 1338.12219
35, 2.99999, 1338.02344
36, 2.99999, 1337.91846
37, 2.99999, 1337.81287
38, 2.99999, 1337.70923
39, 2.99999, 1337.60693
