x, y, z
0, 0, 1344.00171
0.99998, 0, 1343.84094
1.99997, 0, 1343.67639
3.00003, 0, 1343.50684
4.00002, 0, 1343.33130
5, 0, 1343.15125
5.99998, 0, 1342.96753
6.99997, 0, 1342.78064
8.00003, 0, 1342.58984
9.00002, 0, 1342.39441
10, 0, 1342.19617
11, 0, 1341.99707
12, 0, 1341.79822
13, 0, 1341.59949
14, 0, 1341.40076
15, 0, 1341.20398
16, 0, 1341.01123
17, 0, 1340.82349
18, 0, 1340.64099
19, 0, 1340.46338
20, 0, 1340.29175
21, 0, 1340.12671
22, 0, 1339.96814
23, 0, 1339.81494
24, 0, 1339.66589
25, 0, 1339.52136
26, 0, 1339.38196
27, 0, 1339.24695
28, 0, 1339.11499
29, 0, 1338.98486
30, 0, 1338.85730
31, 0, 1338.73291
32, 0, 1338.61145
33, 0, 1338.49194
34, 0, 1338.37305
35, 0, 1338.25488
36, 0, 1338.13733
37, 0, 1338.01941
38, 0, 1337.89929
39, 0, 1337.77454
40, 0, 1337.64453
41, 0, 1337.50842
42, 0, 1337.36401
43, 0, 1337.20862
44, 0, 1337.04016
45, 0, 1336.85901
46, 0, 1336.66638
47, 0, 1336.46265
48, 0, 1336.24719
49, 0, 1336.01868
50, 0, 1335.77576
51, 0, 1335.51624
52, 0, 1335.23682
53, 0, 1334.93347
54, 0, 1334.60144
55, 0, 1334.23535
56, 0, 1333.82910
57, 0, 1333.37500
58, 0, 1332.86462
59, 0, 1332.29016
60, 0, 1331.64758
61, 0, 1330.93384
62, 0, 1330.14587
63, 0, 1329.28015
64, 0, 1328.33484
65, 0, 1327.31128
66, 0, 1326.21265
67, 0, 1325.04285
68, 0, 1323.80774
69, 0, 1322.51819
70, 0, 1321.19434
71, 0, 1319.86108
72, 0, 1318.54358
73, 0, 1317.26318
74, 0, 1316.03259
75, 0, 1314.85083
76, 0, 1313.70776
77, 0, 1312.59009
78, 0, 1311.48389
79, 0, 1310.37793
80, 0, 1309.26709
81, 0, 1308.14893
82, 0, 1307.02075
83, 0, 1305.87952
84, 0, 1304.72278
85, 0, 1303.55042
86, 0, 1302.36255
87, 0, 1301.15710
88, 0, 1299.93201
89, 0, 1298.68982
90, 0, 1297.44519
91, 0, 1296.21851
92, 0, 1295.03064
93, 0, 1293.90186
94, 0, 1292.85168
95, 0, 1291.89941
96, 0, 1291.06799
97, 0, 1290.38477
98, 0, 1289.87708
99, 0, 1289.55884
100, 0, 1289.41101
101, 0, 1289.40234
102, 0, 1289.50464
103, 0, 1289.69775
104, 0, 1289.96924
105, 0, 1290.31079
106, 0, 1290.71924
107, 0, 1291.19641
108, 0, 1291.74719
109, 0, 1292.37451
110, 0, 1293.07373
111, 0, 1293.83923
112, 0, 1294.67053
113, 0, 1295.57214
114, 0, 1296.54834
115, 0, 1297.59460
116, 0, 1298.70752
117, 0, 1299.89087
118, 0, 1301.15588
119, 0, 1302.51697
120, 0, 1303.98376
121, 0, 1305.56702
122, 0, 1307.28015
123, 0, 1309.13037
124, 0, 1311.09570
125, 0, 1313.09656
126, 0, 1315.02502
127, 0, 1316.77039
128, 0, 1318.23816
129, 0, 1319.37061
130, 0, 1320.16626
131, 0, 1320.65454
132, 0, 1320.87524
133, 0, 1320.87085
134, 0, 1320.69482
135, 0, 1320.42737
136, 0, 1320.15918
137, 0, 1319.97876
138, 0, 1319.96338
139, 0, 1320.16565
140, 0, 1320.59717
141, 0, 1321.25293
142, 0, 1322.12793
143, 0, 1323.21912
144, 0, 1324.51025
145, 0, 1325.95044
146, 0, 1327.47681
147, 0, 1329.03235
148, 0, 1330.57166
149, 0, 1332.05994
150, 0, 1333.46716
151, 0, 1334.77087
152, 0, 1335.95764
153, 0, 1337.02100
154, 0, 1337.95813
155, 0, 1338.76453
156, 0, 1339.43835
