x, y, z
0, 0, 1344.23022
0.99998, 0, 1344.04065
1.99997, 0, 1343.84497
3.00003, 0, 1343.64197
4.00002, 0, 1343.43115
5, 0, 1343.21484
5.99998, 0, 1342.99609
6.99997, 0, 1342.77698
8.00003, 0, 1342.55835
9.00002, 0, 1342.34082
10, 0, 1342.12573
11, 0, 1341.91431
12, 0, 1341.70691
13, 0, 1341.50256
14, 0, 1341.30066
15, 0, 1341.10242
16, 0, 1340.90942
17, 0, 1340.72205
18, 0, 1340.54016
19, 0, 1340.36304
20, 0, 1340.19177
21, 0, 1340.02686
22, 0, 1339.86829
23, 0, 1339.71497
24, 0, 1339.56580
25, 0, 1339.42126
26, 0, 1339.28174
27, 0, 1339.14673
28, 0, 1339.01489
29, 0, 1338.88489
30, 0, 1338.75720
31, 0, 1338.63281
32, 0, 1338.51147
33, 0, 1338.39185
34, 0, 1338.27295
35, 0, 1338.15479
36, 0, 1338.03735
37, 0, 1337.91956
38, 0, 1337.79980
39, 0, 1337.67590
40, 0, 1337.54749
41, 0, 1337.41431
42, 0, 1337.27490
43, 0, 1337.12708
44, 0, 1336.96912
45, 0, 1336.80103
46, 0, 1336.62329
47, 0, 1336.43555
48, 0, 1336.23669
49, 0, 1336.02490
50, 0, 1335.79858
51, 0, 1335.55579
52, 0, 1335.29333
53, 0, 1335.00732
54, 0, 1334.69324
55, 0, 1334.34668
56, 0, 1333.96277
57, 0, 1333.53516
58, 0, 1333.05627
59, 0, 1332.51892
60, 0, 1331.91882
61, 0, 1331.25208
62, 0, 1330.51440
63, 0, 1329.70190
64, 0, 1328.81348
65, 0, 1327.85400
66, 0, 1326.83179
67, 0, 1325.75647
68, 0, 1324.63916
69, 0, 1323.49622
70, 0, 1322.35327
71, 0, 1321.24048
72, 0, 1320.18774
73, 0, 1319.22009
74, 0, 1318.35193
75, 0, 1317.57898
76, 0, 1316.88635
77, 0, 1316.25452
78, 0, 1315.66357
79, 0, 1315.09717
80, 0, 1314.54614
81, 0, 1314.00464
82, 0, 1313.46753
83, 0, 1312.92957
84, 0, 1312.38647
85, 0, 1311.83765
86, 0, 1311.28296
87, 0, 1310.72083
88, 0, 1310.14880
89, 0, 1309.56738
90, 0, 1308.98486
91, 0, 1308.41272
92, 0, 1307.86255
93, 0, 1307.34509
94, 0, 1306.87036
95, 0, 1306.44983
96, 0, 1306.09644
97, 0, 1305.82507
98, 0, 1305.65051
99, 0, 1305.58020
100, 0, 1305.60608
101, 0, 1305.71375
102, 0, 1305.89014
103, 0, 1306.12561
104, 0, 1306.41406
105, 0, 1306.75012
106, 0, 1307.13098
107, 0, 1307.55505
108, 0, 1308.02197
109, 0, 1308.52832
110, 0, 1309.06494
111, 0, 1309.62195
112, 0, 1310.19360
113, 0, 1310.77869
114, 0, 1311.37744
115, 0, 1311.98511
116, 0, 1312.59863
117, 0, 1313.22144
118, 0, 1313.86292
119, 0, 1314.53442
120, 0, 1315.24438
121, 0, 1316.00085
122, 0, 1316.81348
123, 0, 1317.68799
124, 0, 1318.61597
125, 0, 1319.55933
126, 0, 1320.46582
127, 0, 1321.28186
128, 0, 1321.96167
129, 0, 1322.47778
130, 0, 1322.82996
131, 0, 1323.03320
132, 0, 1323.10779
133, 0, 1323.07532
134, 0, 1322.96301
135, 0, 1322.81079
136, 0, 1322.66382
137, 0, 1322.56604
138, 0, 1322.55627
139, 0, 1322.66064
140, 0, 1322.88489
141, 0, 1323.22607
142, 0, 1323.68164
143, 0, 1324.24988
144, 0, 1324.92273
145, 0, 1325.67456
146, 0, 1326.47388
147, 0, 1327.29211
148, 0, 1328.10645
149, 0, 1328.89966
150, 0, 1329.65649
151, 0, 1330.36597
152, 0, 1331.02136
153, 0, 1331.61926
154, 0, 1332.15845
155, 0, 1332.63672
156, 0, 1333.05310
157, 0, 1333.40881
158, 0, 1333.70752
159, 0, 1333.95374
160, 0, 1334.15002
161, 0, 1334.30005
162, 0, 1334.40942
163, 0, 1334.48535
164, 0, 1334.53589
165, 0, 1334.56738
166, 0, 1334.58594
167, 0, 1334.59827
168, 0, 1334.61060
169, 0, 1334.62793
170, 0, 1334.65173
171, 0, 1334.68188
172, 0, 1334.71704
173, 0, 1334.75610
174, 0, 1334.79895
175, 0, 1334.84644
176, 0, 1334.90015
177, 0, 1334.96143
178, 0, 1335.03088
179, 0, 1335.10889
180, 0, 1335.19592
181, 0, 1335.29163
182, 0, 1335.39514
183, 0, 1335.50488
184, 0, 1335.62012
185, 0, 1335.74243
186, 0, 1335.87427
187, 0, 1336.01733
188, 0, 1336.17163
189, 0, 1336.33716
190, 0, 1336.51379
191, 0, 1336.70142
192, 0, 1336.89771
193, 0, 1337.09961
194, 0, 1337.30420
195, 0, 1337.51135
196, 0, 1337.72119
197, 0, 1337.93213
198, 0, 1338.14148
199, 0, 1338.34644
200, 0, 1338.54614
201, 0, 1338.74011
202, 0, 1338.92603
203, 0, 1339.10022
204, 0, 1339.25952
205, 0, 1339.40430
206, 0, 1339.53516
207, 0, 1339.65137
208, 0, 1339.75049
209, 0, 1339.82983
210, 0, 1339.88928
0, 1, 1344.11633
0.99998, 1, 1343.92871
1.99997, 1, 1343.73486
3.00003, 1, 1343.53210
4.00002, 1, 1343.31787
5, 1, 1343.09705
5.99998, 1, 1342.87451
6.99997, 1, 1342.65247
8.00003, 1, 1342.43127
9.00002, 1, 1342.21008
10, 1, 1341.99170
11, 1, 1341.77844
12, 1, 1341.57031
13, 1, 1341.36548
14, 1, 1341.16125
15, 1, 1340.96094
16, 1, 1340.76685
17, 1, 1340.57996
18, 1, 1340.39868
19, 1, 1340.22095
20, 1, 1340.04932
21, 1, 1339.88525
22, 1, 1339.72864
23, 1, 1339.57751
24, 1, 1339.42932
25, 1, 1339.28589
26, 1, 1339.14868
27, 1, 1339.01733
28, 1, 1338.88916
29, 1, 1338.76147
30, 1, 1338.63647
31, 1, 1338.51599
32, 1, 1338.39990
33, 1, 1338.28625
34, 1, 1338.17236
35, 1, 1338.05981
36, 1, 1337.94934
37, 1, 1337.84021
38, 1, 1337.72949
39, 1, 1337.61377
40, 1, 1337.49426
41, 1, 1337.37158
42, 1, 1337.24438
43, 1, 1337.10938
44, 1, 1336.96301
45, 1, 1336.80701
46, 1, 1336.64294
47, 1, 1336.47070
48, 1, 1336.28833
49, 1, 1336.09314
50, 1, 1335.88452
51, 1, 1335.66101
52, 1, 1335.41956
53, 1, 1335.15564
54, 1, 1334.86389
55, 1, 1334.54138
56, 1, 1334.18359
57, 1, 1333.78369
58, 1, 1333.33215
59, 1, 1332.81836
60, 1, 1332.23901
61, 1, 1331.58984
62, 1, 1330.86450
63, 1, 1330.05530
64, 1, 1329.15662
65, 1, 1328.17688
66, 1, 1327.12720
67, 1, 1326.01794
68, 1, 1324.85876
69, 1, 1323.66284
70, 1, 1322.46265
71, 1, 1321.29504
72, 1, 1320.19580
73, 1, 1319.19800
74, 1, 1318.32373
75, 1, 1317.56055
76, 1, 1316.88538
77, 1, 1316.27319
78, 1, 1315.69897
79, 1, 1315.14136
80, 1, 1314.59473
81, 1, 1314.05579
82, 1, 1313.52051
83, 1, 1312.98254
84, 1, 1312.43567
85, 1, 1311.88318
86, 1, 1311.32739
87, 1, 1310.76660
88, 1, 1310.19543
89, 1, 1309.60938
90, 1, 1309.02185
91, 1, 1308.44775
92, 1, 1307.89954
93, 1, 1307.38684
94, 1, 1306.91760
95, 1, 1306.50122
96, 1, 1306.14819
97, 1, 1305.87341
98, 1, 1305.69666
99, 1, 1305.63513
100, 1, 1305.67065
101, 1, 1305.78333
102, 1, 1305.95996
103, 1, 1306.19482
104, 1, 1306.48633
105, 1, 1306.83167
106, 1, 1307.22949
107, 1, 1307.68066
108, 1, 1308.18726
109, 1, 1308.74829
110, 1, 1309.34509
