x, y, z
0, 0, 1343.54785
0.99998, 0, 1343.44385
1.99997, 0, 1343.34070
3.00003, 0, 1343.23743
4.00002, 0, 1343.13232
5, 0, 1343.02417
5.99998, 0, 1342.91064
6.99997, 0, 1342.78833
8.00003, 0, 1342.65295
9.00002, 0, 1342.50195
10, 0, 1342.33752
11, 0, 1342.16309
12, 0, 1341.98145
13, 0, 1341.79395
14, 0, 1341.60156
15, 0, 1341.40771
16, 0, 1341.21545
17, 0, 1341.02698
18, 0, 1340.84326
19, 0, 1340.66479
20, 0, 1340.49268
21, 0, 1340.32739
22, 0, 1340.16882
23, 0, 1340.01562
24, 0, 1339.86670
25, 0, 1339.72229
26, 0, 1339.58289
27, 0, 1339.44775
28, 0, 1339.31580
29, 0, 1339.18579
30, 0, 1339.05823
31, 0, 1338.93384
32, 0, 1338.81238
33, 0, 1338.69275
34, 0, 1338.57385
35, 0, 1338.45557
36, 0, 1338.33789
37, 0, 1338.21973
38, 0, 1338.09863
39, 0, 1337.97229
40, 0, 1337.83911
41, 0, 1337.69690
42, 0, 1337.54260
43, 0, 1337.37207
44, 0, 1337.18262
45, 0, 1336.97534
46, 0, 1336.75281
47, 0, 1336.51672
48, 0, 1336.26819
49, 0, 1336.00647
50, 0, 1335.73035
51, 0, 1335.43738
52, 0, 1335.12427
53, 0, 1334.78650
54, 0, 1334.41858
55, 0, 1334.01343
56, 0, 1333.56250
57, 0, 1333.05542
58, 0, 1332.48169
59, 0, 1331.83276
60, 0, 1331.10486
61, 0, 1330.29700
62, 0, 1329.40808
63, 0, 1328.43591
64, 0, 1327.37683
65, 0, 1326.22510
66, 0, 1324.97351
67, 0, 1323.61511
68, 0, 1322.14441
69, 0, 1320.56152
70, 0, 1318.87585
71, 0, 1317.10181
72, 0, 1315.25476
73, 0, 1313.34875
74, 0, 1311.39368
75, 0, 1309.39404
76, 0, 1307.35022
77, 0, 1305.26099
78, 0, 1303.12415
79, 0, 1300.93921
80, 0, 1298.70886
81, 0, 1296.43713
82, 0, 1294.12671
83, 0, 1291.77917
84, 0, 1289.39502
85, 0, 1286.97571
86, 0, 1284.52136
87, 0, 1282.02966
88, 0, 1279.49841
89, 0, 1276.93481
90, 0, 1274.36633
91, 0, 1271.83057
92, 0, 1269.36755
93, 0, 1267.01636
94, 0, 1264.81494
95, 0, 1262.79919
96, 0, 1261.01160
97, 0, 1259.50415
98, 0, 1258.33008
99, 0, 1257.51575
100, 0, 1257.02051
101, 0, 1256.77917
102, 0, 1256.73328
103, 0, 1256.84180
104, 0, 1257.07959
105, 0, 1257.43225
106, 0, 1257.89624
107, 0, 1258.47974
108, 0, 1259.19873
109, 0, 1260.06824
110, 0, 1261.09265
111, 0, 1262.27515
112, 0, 1263.62573
113, 0, 1265.16003
114, 0, 1266.89075
115, 0, 1268.81433
116, 0, 1270.92578
117, 0, 1273.22974
118, 0, 1275.74182
119, 0, 1278.48169
120, 0, 1281.46191
121, 0, 1284.69849
122, 0, 1288.21277
123, 0, 1292.01416
124, 0, 1296.05444
125, 0, 1300.17065
126, 0, 1304.14319
127, 0, 1307.74744
128, 0, 1310.79150
129, 0, 1313.15686
130, 0, 1314.83960
131, 0, 1315.89832
132, 0, 1316.41150
133, 0, 1316.46326
134, 0, 1316.15979
135, 0, 1315.66187
136, 0, 1315.15137
137, 0, 1314.80554
138, 0, 1314.77893
139, 0, 1315.17676
140, 0, 1316.02295
141, 0, 1317.30762
142, 0, 1319.02136
143, 0, 1321.15820
144, 0, 1323.68591
145, 0, 1326.50281
146, 0, 1329.48340
147, 0, 1332.51343
148, 0, 1335.50269
149, 0, 1338.38135
150, 0, 1341.08911
151, 0, 1343.58130
152, 0, 1345.83081
153, 0, 1347.82507
154, 0, 1349.55798
155, 0, 1351.02087
156, 0, 1352.20959
157, 0, 1353.12927
158, 0, 1353.79480
159, 0, 1354.22498
160, 0, 1354.43225
161, 0, 1354.43286
162, 0, 1354.25220
163, 0, 1353.92322
164, 0, 1353.47986
165, 0, 1352.94690
166, 0, 1352.34668
167, 0, 1351.70398
168, 0, 1351.04468
169, 0, 1350.38904
170, 0, 1349.74329
171, 0, 1349.10632
172, 0, 1348.47632
173, 0, 1347.85242
174, 0, 1347.23608
175, 0, 1346.63147
176, 0, 1346.04419
177, 0, 1345.48047
178, 0, 1344.94592
179, 0, 1344.44409
180, 0, 1343.97400
181, 0, 1343.53198
182, 0, 1343.11304
183, 0, 1342.71240
184, 0, 1342.32837
185, 0, 1341.96594
186, 0, 1341.63257
187, 0, 1341.33521
188, 0, 1341.07898
189, 0, 1340.86548
190, 0, 1340.69299
191, 0, 1340.55627
192, 0, 1340.44751
193, 0, 1340.35791
194, 0, 1340.28101
195, 0, 1340.21716
196, 0, 1340.16931
197, 0, 1340.13892
198, 0, 1340.12549
199, 0, 1340.12732
200, 0, 1340.14343
201, 0, 1340.17200
202, 0, 1340.20874
203, 0, 1340.24866
204, 0, 1340.28662
205, 0, 1340.32202
206, 0, 1340.35461
207, 0, 1340.38318
208, 0, 1340.40540
209, 0, 1340.41821
210, 0, 1340.42029
0, 1, 1343.41272
0.99998, 1, 1343.30627
1.99997, 1, 1343.20044
3.00003, 1, 1343.09387
4.00002, 1, 1342.98462
5, 1, 1342.87256
5.99998, 1, 1342.75647
6.99997, 1, 1342.63257
8.00003, 1, 1342.49475
9.00002, 1, 1342.33728
10, 1, 1342.16589
11, 1, 1341.98645
12, 1, 1341.80200
13, 1, 1341.61218
14, 1, 1341.41602
15, 1, 1341.21851
16, 1, 1341.02405
17, 1, 1340.83496
18, 1, 1340.65125
19, 1, 1340.47205
20, 1, 1340.29980
21, 1, 1340.13562
22, 1, 1339.97913
23, 1, 1339.82825
24, 1, 1339.68030
25, 1, 1339.53711
26, 1, 1339.39990
27, 1, 1339.26843
28, 1, 1339.14014
29, 1, 1339.01245
30, 1, 1338.88757
31, 1, 1338.76697
32, 1, 1338.65088
33, 1, 1338.53723
34, 1, 1338.42346
35, 1, 1338.31091
36, 1, 1338.20056
37, 1, 1338.09119
38, 1, 1337.98010
39, 1, 1337.86340
40, 1, 1337.74133
41, 1, 1337.61255
42, 1, 1337.47400
43, 1, 1337.31958
44, 1, 1337.14392
45, 1, 1336.95068
46, 1, 1336.74402
47, 1, 1336.52625
48, 1, 1336.29785
49, 1, 1336.05798
50, 1, 1335.80530
51, 1, 1335.53723
52, 1, 1335.25085
53, 1, 1334.94177
54, 1, 1334.60498
55, 1, 1334.23376
56, 1, 1333.81970
57, 1, 1333.35193
58, 1, 1332.81726
59, 1, 1332.20239
60, 1, 1331.50598
61, 1, 1330.72717
62, 1, 1329.86365
63, 1, 1328.91248
64, 1, 1327.86938
65, 1, 1326.72705
66, 1, 1325.47754
67, 1, 1324.11279
68, 1, 1322.62476
69, 1, 1321.00964
70, 1, 1319.28308
71, 1, 1317.46436
72, 1, 1315.57190
73, 1, 1313.62231
74, 1, 1311.62878
75, 1, 1309.59399
76, 1, 1307.51721
77, 1, 1305.39575
78, 1, 1303.22595
79, 1, 1301.00513
80, 1, 1298.73901
81, 1, 1296.43372
82, 1, 1294.09314
83, 1, 1291.71826
84, 1, 1289.30872
85, 1, 1286.87048
86, 1, 1284.40625
87, 1, 1281.91321
88, 1, 1279.38269
89, 1, 1276.81104
90, 1, 1274.23792
91, 1, 1271.70947
92, 1, 1269.26819
93, 1, 1266.95312
94, 1, 1264.79883
95, 1, 1262.82727
96, 1, 1261.06836
97, 1, 1259.57214
98, 1, 1258.41382
99, 1, 1257.65967
100, 1, 1257.22388
101, 1, 1257.01392
102, 1, 1256.96741
103, 1, 1257.05200
104, 1, 1257.25525
105, 1, 1257.56543
106, 1, 1257.98279
107, 1, 1258.52148
108, 1, 1259.20764
109, 1, 1260.06897
110, 1, 1261.09839
111, 1, 1262.29126
112, 1, 1263.65662
113, 1, 1265.21777
114, 1, 1267.00098
115, 1, 1268.98547
116, 1, 1271.15564
117, 1, 1273.51501
118, 1, 1276.08716
119, 1, 1278.90442
120, 1, 1281.96704
121, 1, 1285.28589
122, 1, 1288.89478
123, 1, 1292.84302
124, 1, 1297.13623
125, 1, 1301.53613
126, 1, 1305.75769
127, 1, 1309.52917
128, 1, 1312.61011
129, 1, 1314.83948
130, 1, 1316.28418
131, 1, 1317.07153
132, 1, 1317.32251
133, 1, 1317.12939
134, 1, 1316.57776
135, 1, 1315.87109
136, 1, 1315.21167
137, 1, 1314.78186
138, 1, 1314.75073
139, 1, 1315.24963
140, 1, 1316.24084
141, 1, 1317.67212
142, 1, 1319.52551
143, 1, 1321.82007
144, 1, 1324.56824
145, 1, 1327.61438
146, 1, 1330.79395
147, 1, 1333.97827
148, 1, 1337.07874
149, 1, 1340.03772
150, 1, 1342.79150
151, 1, 1345.29773
152, 1, 1347.53711
153, 1, 1349.50830
154, 1, 1351.21716
155, 1, 1352.64746
156, 1, 1353.78796
157, 1, 1354.64038
158, 1, 1355.22253
159, 1, 1355.56201
160, 1, 1355.66211
161, 1, 1355.53687
162, 1, 1355.21643
163, 1, 1354.74500
164, 1, 1354.16931
165, 1, 1353.50891
166, 1, 1352.78381
167, 1, 1352.02173
168, 1, 1351.25574
169, 1, 1350.51624
170, 1, 1349.80103
171, 1, 1349.10339
172, 1, 1348.41882
173, 1, 1347.74524
174, 1, 1347.08276
175, 1, 1346.43555
