x, y, z
0, 0, 1337.67395
0.99998, 0, 1337.69653
1.99997, 0, 1337.70959
3.00003, 0, 1337.71228
4.00002, 0, 1337.70471
5, 0, 1337.69006
5.99998, 0, 1337.67249
6.99997, 0, 1337.65601
8.00003, 0, 1337.64343
9.00002, 0, 1337.63721
10, 0, 1337.63904
11, 0, 1337.65027
12, 0, 1337.67151
13, 0, 1337.70239
14, 0, 1337.74292
15, 0, 1337.79321
16, 0, 1337.85352
17, 0, 1337.92297
18, 0, 1338.00037
19, 0, 1338.08362
20, 0, 1338.17126
21, 0, 1338.26086
22, 0, 1338.34888
23, 0, 1338.43091
24, 0, 1338.50391
25, 0, 1338.56812
26, 0, 1338.62488
27, 0, 1338.67407
28, 0, 1338.71350
29, 0, 1338.74060
30, 0, 1338.75391
31, 0, 1338.75122
32, 0, 1338.72864
33, 0, 1338.68127
34, 0, 1338.60669
35, 0, 1338.50916
36, 0, 1338.39539
37, 0, 1338.27185
38, 0, 1338.14233
39, 0, 1338.00879
40, 0, 1337.87073
41, 0, 1337.72583
42, 0, 1337.56970
43, 0, 1337.39722
44, 0, 1337.20496
45, 0, 1336.99365
46, 0, 1336.76599
47, 0, 1336.52441
48, 0, 1336.27002
49, 0, 1336.00256
50, 0, 1335.72070
51, 0, 1335.42212
52, 0, 1335.10327
53, 0, 1334.75989
54, 0, 1334.38599
55, 0, 1333.97437
56, 0, 1333.51599
57, 0, 1333.00012
58, 0, 1332.41602
59, 0, 1331.75464
60, 0, 1331.01270
61, 0, 1330.18921
62, 0, 1329.28345
63, 0, 1328.29346
64, 0, 1327.21533
65, 0, 1326.04199
66, 0, 1324.76477
67, 0, 1323.37476
68, 0, 1321.86462
69, 0, 1320.23254
70, 0, 1318.48621
71, 0, 1316.63843
72, 0, 1314.70300
73, 0, 1312.69226
74, 0, 1310.61609
75, 0, 1308.47986
76, 0, 1306.28577
77, 0, 1304.03455
78, 0, 1301.72620
79, 0, 1299.36267
80, 0, 1296.94910
81, 0, 1294.49255
82, 0, 1291.99902
83, 0, 1289.47363
84, 0, 1286.92053
85, 0, 1284.34497
86, 0, 1281.75110
87, 0, 1279.14221
88, 0, 1276.52002
89, 0, 1273.88660
90, 0, 1271.24463
91, 0, 1268.59705
92, 0, 1265.94543
93, 0, 1263.29041
94, 0, 1260.63391
95, 0, 1257.98157
96, 0, 1255.34058
97, 0, 1252.71704
98, 0, 1250.11633
99, 0, 1247.54407
100, 0, 1245.00781
101, 0, 1242.51587
102, 0, 1240.07581
103, 0, 1237.69470
104, 0, 1235.38062
105, 0, 1233.14478
106, 0, 1230.99890
107, 0, 1228.95288
108, 0, 1227.01770
109, 0, 1225.21106
110, 0, 1223.56628
111, 0, 1222.12585
112, 0, 1220.93530
113, 0, 1220.03564
114, 0, 1219.45056
115, 0, 1219.16821
116, 0, 1219.16333
117, 0, 1219.41199
118, 0, 1219.89600
119, 0, 1220.59619
120, 0, 1221.48120
121, 0, 1222.51733
122, 0, 1223.67566
123, 0, 1224.93445
124, 0, 1226.27942
125, 0, 1227.70374
126, 0, 1229.20520
127, 0, 1230.78418
128, 0, 1232.44177
129, 0, 1234.17676
130, 0, 1235.98315
131, 0, 1237.85266
132, 0, 1239.77661
133, 0, 1241.74658
134, 0, 1243.75366
135, 0, 1245.78809
136, 0, 1247.83960
137, 0, 1249.89783
138, 0, 1251.95386
139, 0, 1254.00037
140, 0, 1256.03394
141, 0, 1258.05225
142, 0, 1260.05383
143, 0, 1262.03711
144, 0, 1264.00098
145, 0, 1265.94519
146, 0, 1267.87036
147, 0, 1269.77832
148, 0, 1271.67603
149, 0, 1273.58289
150, 0, 1275.54065
151, 0, 1277.60681
152, 0, 1279.84741
153, 0, 1282.32520
154, 0, 1285.07776
155, 0, 1288.08838
156, 0, 1291.31775
157, 0, 1294.72583
158, 0, 1298.27979
159, 0, 1301.94739
160, 0, 1305.68640
161, 0, 1309.45215
162, 0, 1313.20447
163, 0, 1316.91150
164, 0, 1320.55493
165, 0, 1324.13696
166, 0, 1327.67065
167, 0, 1331.17224
168, 0, 1334.65637
169, 0, 1338.13074
170, 0, 1341.59070
171, 0, 1345.02490
172, 0, 1348.42004
173, 0, 1351.76245
174, 0, 1355.03809
175, 0, 1358.23108
176, 0, 1361.32629
177, 0, 1364.31091
178, 0, 1367.17432
179, 0, 1369.90466
180, 0, 1372.48511
181, 0, 1374.89807
182, 0, 1377.12952
183, 0, 1379.16870
184, 0, 1381.00610
185, 0, 1382.62976
186, 0, 1384.03137
187, 0, 1385.21021
188, 0, 1386.17322
189, 0, 1386.92969
190, 0, 1387.48145
191, 0, 1387.83289
192, 0, 1387.99561
193, 0, 1387.98816
194, 0, 1387.82996
195, 0, 1387.53308
196, 0, 1387.10657
197, 0, 1386.55945
198, 0, 1385.90100
199, 0, 1385.14136
200, 0, 1384.29114
201, 0, 1383.36121
202, 0, 1382.36182
203, 0, 1381.30444
204, 0, 1380.20398
205, 0, 1379.08167
206, 0, 1377.96375
207, 0, 1376.87842
208, 0, 1375.85376
209, 0, 1374.91284
210, 0, 1374.06714
0, 1, 1337.55017
0.99998, 1, 1337.57532
1.99997, 1, 1337.59082
3.00003, 1, 1337.59448
4.00002, 1, 1337.58411
5, 1, 1337.56494
5.99998, 1, 1337.54260
6.99997, 1, 1337.52148
8.00003, 1, 1337.50427
9.00002, 1, 1337.49304
10, 1, 1337.48987
11, 1, 1337.49670
12, 1, 1337.51416
13, 1, 1337.54175
14, 1, 1337.57874
15, 1, 1337.62598
16, 1, 1337.68384
